"日付","始値","高値","安値","終値","前日比","出来高","売買代金","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","75DMA","100DMA","200DMA","5DVMA","25DVMA","75DVMA"
"2015/02/20","501.0","505.0","473.0","485.0","0.0","2,511,400","1,235,534","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2015/02/23","487.0","490.0","479.0","482.0","-3.0","342,400","165,366","0","26,100","0.00","-","-","-","-","-","-","-","-","-","-"
"2015/02/24","480.0","500.0","475.0","492.0","+10.0","330,200","159,801","0","61,300","0.00","-","-","-","-","-","-","-","-","-","-"
"2015/02/25","488.0","492.0","483.0","490.0","-2.0","130,900","63,886","0","73,900","0.00","-","-","-","-","-","-","-","-","-","-"
"2015/02/26","495.0","495.0","483.0","485.0","-5.0","111,500","54,419","0","89,100","0.00","-","-","486.80","-","-","-","-","685,280","-","-"
"2015/02/27","483.0","485.0","478.0","484.0","-1.0","98,700","47,536","0","67,200","0.00","-","-","486.60","-","-","-","-","202,740","-","-"
"2015/03/02","495.0","509.0","488.0","499.0","+15.0","343,800","171,253","0","84,000","0.00","-","-","490.00","-","-","-","-","203,020","-","-"
"2015/03/03","507.0","534.0","506.0","523.0","+24.0","435,600","224,784","0","95,300","0.00","-","-","496.20","-","-","-","-","224,100","-","-"
"2015/03/04","526.0","535.0","512.0","524.0","+1.0","220,800","115,684","0","95,100","0.00","-","-","503.00","-","-","-","-","242,080","-","-"
"2015/03/05","524.0","534.0","518.0","531.0","+7.0","143,500","75,516","0","88,800","0.00","-","-","512.20","-","-","-","-","248,480","-","-"
"2015/03/06","540.0","579.0","536.0","555.0","+24.0","341,900","189,049","0","92,300","0.00","-","-","526.40","-","-","-","-","297,120","-","-"
"2015/03/09","559.0","559.0","536.0","540.0","-15.0","258,900","141,865","0","107,900","0.00","-","-","534.60","-","-","-","-","280,140","-","-"
"2015/03/10","535.0","537.0","500.0","515.0","-25.0","215,100","111,682","0","86,800","0.00","-","-","533.00","-","-","-","-","236,040","-","-"
"2015/03/11","505.0","536.0","503.0","527.0","+12.0","137,300","72,034","0","80,100","0.00","-","-","533.60","-","-","-","-","219,340","-","-"
"2015/03/12","540.0","540.0","521.0","523.0","-4.0","45,000","23,833","0","80,700","0.00","-","-","532.00","-","-","-","-","199,640","-","-"
"2015/03/13","524.0","532.0","518.0","528.0","+5.0","69,800","36,502","0","26,800","0.00","-","-","526.60","-","-","-","-","145,220","-","-"
"2015/03/16","528.0","538.0","524.0","533.0","+5.0","66,400","35,256","0","24,900","0.00","-","-","525.20","-","-","-","-","106,720","-","-"
"2015/03/17","539.0","539.0","529.0","529.0","-4.0","45,100","24,041","0","25,300","0.00","-","-","528.00","-","-","-","-","72,720","-","-"
"2015/03/18","525.0","538.0","517.0","535.0","+6.0","122,200","64,323","0","23,000","0.00","-","-","529.60","-","-","-","-","69,700","-","-"
"2015/03/19","534.0","534.0","518.0","530.0","-5.0","55,400","29,166","0","23,200","0.00","-","-","531.00","-","-","-","-","71,780","-","-"
"2015/03/20","530.0","532.0","527.0","531.0","+1.0","27,200","14,395","0","23,100","0.00","-","-","531.60","-","-","-","-","63,260","-","-"
"2015/03/23","540.0","540.0","528.0","530.0","-1.0","39,000","20,846","0","22,800","0.00","-","-","531.00","-","-","-","-","57,780","-","-"
"2015/03/24","528.0","531.0","525.0","530.0","0.0","36,500","19,292","0","66,000","0.00","-","-","531.20","-","-","-","-","56,060","-","-"
"2015/03/25","525.0","530.0","523.0","526.0","-4.0","33,700","17,701","0","22,100","0.00","-","-","529.40","-","-","-","-","38,360","-","-"
"2015/03/26","522.0","525.0","520.0","524.0","-2.0","35,800","18,690","0","62,000","0.00","-","-","528.20","518.04","-","-","-","34,440","247,924","-"
"2015/03/27","520.0","522.0","508.0","515.0","-9.0","78,500","40,476","0","50,200","0.00","-","-","525.00","519.24","-","-","-","44,700","150,608","-"
"2015/03/30","520.0","520.0","515.0","515.0","0.0","56,800","29,354","0","28,700","0.00","-","-","522.00","520.56","-","-","-","48,260","139,184","-"
"2015/03/31","517.0","518.0","505.0","506.0","-9.0","82,400","42,096","0","28,700","0.00","-","-","517.20","521.12","-","-","-","57,440","129,272","-"
"2015/04/01","508.0","508.0","501.0","502.0","-4.0","43,900","22,115","0","28,700","0.00","-","-","512.40","521.60","-","-","-","59,480","125,792","-"
"2015/04/02","510.0","510.0","503.0","505.0","+3.0","27,300","13,816","0","29,900","0.00","-","-","508.60","522.40","-","-","-","57,780","122,424","-"
"2015/04/03","510.0","518.0","504.0","518.0","+13.0","30,100","15,312","0","29,500","0.00","-","-","509.20","523.76","-","-","-","48,100","119,680","-"
"2015/04/06","518.0","539.0","516.0","535.0","+17.0","131,300","69,655","0","25,500","0.00","-","-","513.20","525.20","-","-","-","63,000","111,180","-"
"2015/04/07","532.0","555.0","525.0","547.0","+12.0","267,500","144,941","0","27,500","0.00","-","-","521.40","526.16","-","-","-","100,020","104,456","-"
"2015/04/08","539.0","550.0","530.0","543.0","-4.0","52,700","28,441","0","25,900","0.00","-","-","529.60","526.92","-","-","-","101,780","97,732","-"
"2015/04/09","538.0","538.0","525.0","532.0","-11.0","57,000","30,231","0","27,100","0.00","-","-","535.00","526.96","-","-","-","107,720","94,272","-"
"2015/04/10","530.0","537.0","522.0","529.0","-3.0","28,800","15,233","0","26,300","0.00","-","-","537.20","525.92","-","-","-","107,460","81,748","-"
"2015/04/13","532.0","550.0","532.0","549.0","+20.0","51,600","27,857","0","27,600","0.00","-","-","540.00","526.28","-","-","-","91,520","73,456","-"
"2015/04/14","548.0","565.0","540.0","565.0","+16.0","136,200","75,279","0","31,700","0.00","-","-","543.60","528.28","-","-","-","65,260","70,300","-"
"2015/04/15","585.0","610.0","531.0","531.0","-34.0","568,200","320,783","0","50,900","0.00","-","-","541.20","528.44","-","-","-","168,360","87,536","-"
"2015/04/16","536.0","541.0","529.0","531.0","0.0","88,800","47,419","0","44,700","0.00","-","-","541.00","528.76","-","-","-","174,720","89,288","-"
"2015/04/17","533.0","541.0","531.0","533.0","+2.0","48,700","26,021","0","39,600","0.00","-","-","541.80","528.96","-","-","-","178,700","88,444","-"
"2015/04/20","531.0","531.0","516.0","520.0","-13.0","100,100","52,283","0","38,400","0.00","-","-","536.00","528.44","-","-","-","188,400","89,792","-"
"2015/04/21","524.0","524.0","516.0","524.0","+4.0","37,700","19,607","0","39,000","0.00","-","-","527.80","528.24","-","-","-","168,700","89,496","-"
"2015/04/22","525.0","531.0","524.0","528.0","+4.0","31,600","16,688","0","40,200","0.00","-","-","527.20","527.96","-","-","-","61,380","85,872","-"
"2015/04/23","530.0","530.0","521.0","526.0","-2.0","21,300","11,183","0","40,100","0.00","-","-","526.20","527.80","-","-","-","47,880","84,508","-"
