"銘柄名"	"銘柄コード"	"市場部略称"	"T"	"現在値"	"時刻"	"前日比"	"前日比率"	"出来高"
"丸八証券"	"8700"	"ＪＱ"	"▼"	"1,011.0"	"14:42"	"-8.0"	"-0.79%"	"800"
"カブドットコム証券"	"8703"	"東１"	"▼"	"557.0"	"15:00"	"0.0"	"0.00%"	"824,200"
"トレイダーズＨＬＤＧＳ"	"8704"	"ＪＱ"	"▼"	"72.0"	"15:00"	"0.0"	"0.00%"	"411,700"
"岡藤ホールディングス"	"8705"	"ＪＱ"	"▼"	"162.0"	"15:00"	"0.0"	"0.00%"	"36,500"
"極東証券"	"8706"	"東１"	"▼"	"988.0"	"15:00"	"-52.0"	"-5.00%"	"262,100"
"岩井コスモホールディング"	"8707"	"東１"	"▲"	"1,194.0"	"15:00"	"+9.0"	"+0.76%"	"131,900"
"藍澤證券"	"8708"	"東１"	"▼"	"668.0"	"15:00"	"-8.0"	"-1.18%"	"83,200"
"インヴァスト証券"	"8709"	"ＪＱ"	"▲"	"920.0"	"15:00"	"+34.0"	"+3.84%"	"3,800"
"シティグループ"	"8710"	"東１"	""	"-"	"  :  "	""	""	"0"
"フィデアホール"	"8713"	"東１"	"▼"	"131.0"	"15:00"	"-1.0"	"-0.76%"	"160,100"
"池田泉州ＨＤ"	"8714"	"東１"	"▼"	"276.0"	"15:00"	"0.0"	"0.00%"	"532,500"
"アニコムホールディングス"	"8715"	"東１"	"▼"	"3,440.0"	"15:00"	"-20.0"	"-0.58%"	"76,700"
"ＭＳ＆ＡＤ"	"8725"	"東１"	"▲"	"3,438.0"	"15:00"	"-5.0"	"-0.15%"	"1,031,900"
"ＳＯＮＹＦＨ"	"8729"	"東１"	"▼"	"2,267.0"	"15:00"	"+2.0"	"+0.09%"	"802,200"
"マネーパートナーズＧＰ"	"8732"	"東１"	"▼"	"292.0"	"15:00"	"-7.0"	"-2.34%"	"175,400"
"あかつき本社"	"8737"	"東２"	"▲"	"285.0"	"15:00"	"+12.0"	"+4.40%"	"50,500"
"銘柄名"	"銘柄コード"	"市場部略称"	"T"	"現在値"	"時刻"	"前日比"	"前日比率"	"出来高"
"スパークス・グループ"	"8739"	"東１"	"▲"	"239.0"	"15:00"	"-1.0"	"-0.42%"	"1,396,400"
"フジトミ"	"8740"	"ＪＱ"	"▼"	"183.0"	"14:59"	"-3.0"	"-1.61%"	"6,200"
"小林洋行"	"8742"	"東１"	"▼"	"256.0"	"15:00"	"-8.0"	"-3.03%"	"14,500"
"第一商品"	"8746"	"ＪＱ"	"▲"	"166.0"	"15:00"	"0.0"	"0.00%"	"15,500"
"豊商事"	"8747"	"ＪＱ"	"▼"	"480.0"	"15:00"	"-4.0"	"-0.83%"	"2,300"
"第一生命ＨＬＤＧＳ"	"8750"	"東１"	"▼"	"1,595.0"	"15:00"	"-16.0"	"-0.99%"	"6,044,600"
"東京海上ＨＤ"	"8766"	"東１"	"▼"	"5,602.0"	"15:00"	"-6.0"	"-0.11%"	"1,699,600"
"アドバンテッジリスクマネ"	"8769"	"東１"	"▲"	"919.0"	"15:00"	"+5.0"	"+0.55%"	"15,100"
"イー・ギャランティ"	"8771"	"東１"	"▼"	"1,183.0"	"15:00"	"-3.0"	"-0.25%"	"54,200"
"アサックス"	"8772"	"東１"	"▲"	"531.0"	"15:00"	"+8.0"	"+1.53%"	"56,300"
"ＧＦＡ"	"8783"	"ＪＱ"	"▲"	"309.0"	"15:00"	"-1.0"	"-0.32%"	"97,000"
"フィンテックグローバル"	"8789"	"東マ"	"▼"	"118.0"	"15:00"	"-4.0"	"-3.28%"	"4,175,100"
"ＮＥＣキャピタルソリューション"	"8793"	"東１"	"▼"	"1,728.0"	"15:00"	"+73.0"	"+4.41%"	"68,900"
"Ｔ＆Ｄホールディングス"	"8795"	"東１"	"▼"	"1,196.5"	"15:00"	"-21.5"	"-1.77%"	"2,614,100"
"アドバンスクリエイト"	"8798"	"東１"	"▲"	"1,835.0"	"15:00"	"-44.0"	"-2.34%"	"6,300"
"三井不動産"	"8801"	"東１"	"▲"	"2,567.0"	"15:00"	"-6.5"	"-0.25%"	"2,851,400"
"三菱地所"	"8802"	"東１"	"▼"	"1,875.5"	"15:00"	"-9.5"	"-0.50%"	"4,955,000"
"平和不動産"	"8803"	"東１"	"▼"	"2,138.0"	"15:00"	"+89.0"	"+4.34%"	"520,400"
"東京建物"	"8804"	"東１"	"▼"	"1,251.0"	"15:00"	"-20.0"	"-1.57%"	"1,650,500"
"ダイビル"	"8806"	"東１"	"▲"	"983.0"	"15:00"	"-6.0"	"-0.61%"	"98,900"
"京阪神ビルディング"	"8818"	"東１"	"▼"	"1,017.0"	"15:00"	"+1.0"	"+0.10%"	"67,600"
"住友不動産"	"8830"	"東１"	"▼"	"4,103.0"	"15:00"	"-7.0"	"-0.17%"	"1,414,900"
"太平洋興発"	"8835"	"東１"	"▼"	"738.0"	"15:00"	"-11.0"	"-1.47%"	"7,700"
"ＲＩＳＥ"	"8836"	"ＪＱ"	"▲"	"21.0"	"15:00"	"+1.0"	"+5.00%"	"119,500"
"テーオーシー"	"8841"	"東１"	"▼"	"694.0"	"15:00"	"-5.0"	"-0.72%"	"38,800"
"東京楽天地"	"8842"	"東１"	"▼"	"5,040.0"	"15:00"	"-40.0"	"-0.79%"	"1,400"
