"銘柄名"	"銘柄コード"	"市場部略称"	"T"	"現在値"	"時刻"	"前日比"	"前日比率"	"出来高"
"極洋"	"1301"	"東１"	"▼"	"2,761.0"	"15:00"	"-5.0"	"-0.18%"	"19,800"
"ダイワ投信－トピックス"	"1305"	"東１"	"▼"	"1,713.0"	"15:00"	"-1.0"	"-0.06%"	"81,600"
"ＴＯＰＩＸ連動型投信"	"1306"	"東１"	"▼"	"1,689.0"	"15:00"	"-2.0"	"-0.12%"	"1,713,060"
"インデックスＦＴＯＰＩＸ"	"1308"	"東１"	"▲"	"1,673.0"	"15:00"	"-3.0"	"-0.18%"	"176,000"
"上海株式指数投信"	"1309"	"東１"	"▲"	"33,300.0"	"15:00"	"-100.0"	"-0.30%"	"542"
"ダイワ－トピックスコア３０"	"1310"	"東１"	"▲"	"736.0"	"09:00"	"+1.0"	"+0.14%"	"10"
"ＴＯＰＩＸＣＯＲＥ３０連動"	"1311"	"東１"	"▲"	"750.0"	"14:59"	"+1.0"	"+0.13%"	"3,460"
"ラッセル野村小型コアイン"	"1312"	"東１"	"▲"	"19,560.0"	"12:57"	"-180.0"	"-0.91%"	"74"
"サムスンＫＯＤＥＸ２００"	"1313"	"東１"	"▼"	"2,780.0"	"13:43"	"-50.0"	"-1.77%"	"210"
"Ｓ＆Ｐ日本新興株１００"	"1314"	"東１"	""	"-"	"  :  "	""	""	"0"
"日経３００投信"	"1319"	"東２"	""	"322.0"	"  :  "	"0.0"	"0.00%"	"0"
"ダイワ投信－日経２２５"	"1320"	"東１"	"▼"	"23,080.0"	"15:00"	"-80.0"	"-0.35%"	"35,870"
"日経２２５連動投信"	"1321"	"東１"	"▼"	"23,120.0"	"15:00"	"-50.0"	"-0.22%"	"329,208"
"中国Ａ株（パンダ）"	"1322"	"東１"	"▼"	"5,250.0"	"15:00"	"-20.0"	"-0.38%"	"350"
"ＮＥＸＴＦ南アフリカ"	"1323"	"東１"	"▼"	"371.0"	"10:48"	"0.0"	"0.00%"	"100"
"ＮＥＸＴＦロシア"	"1324"	"東１"	"▼"	"134.0"	"15:00"	"-3.0"	"-2.19%"	"27,600"
"ＮＥＸＴＦブラジル"	"1325"	"東１"	"▼"	"210.0"	"12:51"	"+1.0"	"+0.48%"	"5,500"
"ＳＰＤＲゴールド・シェア"	"1326"	"東１"	"▲"	"13,510.0"	"14:56"	"+20.0"	"+0.15%"	"1,065"
"ＥＡＳＹ商品"	"1327"	"東１"	""	"3,300.0"	"  :  "	"0.0"	"0.00%"	"0"
"金連動投信"	"1328"	"東１"	"▲"	"3,775.0"	"15:00"	"+60.0"	"+1.62%"	"2,940"
"ｉシェアーズ・コア２２５"	"1329"	"東１"	"▲"	"23,050.0"	"15:00"	"-50.0"	"-0.22%"	"11,044"
"インデックスファンド２２５"	"1330"	"東１"	"▼"	"23,200.0"	"15:00"	"-50.0"	"-0.22%"	"56,840"
"日本水産"	"1332"	"東１"	"▲"	"777.0"	"15:00"	"0.0"	"0.00%"	"1,627,000"
"マルハニチロ"	"1333"	"東１"	"▼"	"3,520.0"	"15:00"	"-30.0"	"-0.85%"	"154,600"
"ＲＥＩＴ－ＥＴＦ"	"1343"	"東１"	"▲"	"2,029.0"	"15:00"	"-6.0"	"-0.29%"	"232,210"
"ＭＸＳコア３０"	"1344"	"東１"	"▲"	"716.0"	"13:52"	"-5.0"	"-0.69%"	"1,680"
"上場Ｊリート"	"1345"	"東１"	"▼"	"1,909.0"	"15:00"	"-14.0"	"-0.73%"	"33,300"
"ＭＸＳ２２５"	"1346"	"東１"	"▲"	"23,030.0"	"15:00"	"-60.0"	"-0.26%"	"16,471"
"日本グリーンチップ３５"	"1347"	"東１"	""	"-"	"  :  "	""	""	"0"
"ＭＡＸＩＳトピックスＥＴＦ"	"1348"	"東１"	"▼"	"1,677.0"	"15:00"	"-3.0"	"-0.18%"	"83,730"
"ＡＢＦ汎アジア債券ＩＤＸ"	"1349"	"東１"	"▲"	"12,840.0"	"10:25"	"-20.0"	"-0.16%"	"39"
"ホウスイ"	"1352"	"東１"	"▲"	"856.0"	"15:00"	"+3.0"	"+0.35%"	"200"
"ＴＯＰＩＸベア２倍ＥＴＦ"	"1356"	"東１"	"▼"	"2,416.0"	"15:00"	"+6.0"	"+0.25%"	"215,890"
"日経ダブルインバース"	"1357"	"東１"	"▼"	"1,070.0"	"15:00"	"+4.0"	"+0.38%"	"26,579,468"
"上場日経２倍"	"1358"	"東１"	"▲"	"18,720.0"	"15:00"	"-90.0"	"-0.48%"	"19,746"
"日経平均ベア２倍"	"1360"	"東１"	"▼"	"2,568.0"	"15:00"	"+14.0"	"+0.55%"	"1,377,430"
"ＩＳ米ＨＹ債ＥＴＦ－ＪＤＲ"	"1361"	"東１"	""	"-"	"  :  "	""	""	"0"
"ＩＳ新興国債券ＥＴＦ"	"1362"	"東１"	""	"-"	"  :  "	""	""	"0"
"ＩＳ米国債７－１０年ＥＴ"	"1363"	"東１"	""	"-"	"  :  "	""	""	"0"
"ＩＳＪＰＸ日経４００"	"1364"	"東１"	"▲"	"14,670.0"	"14:54"	"-10.0"	"-0.07%"	"31"
"大和２２５ダブル"	"1365"	"東１"	"▲"	"15,110.0"	"15:00"	"-80.0"	"-0.53%"	"51,878"
"大和２２５ダブルベア"	"1366"	"東１"	"▼"	"2,794.0"	"15:00"	"+16.0"	"+0.58%"	"249,108"
"大和ＴＰＸダブル"	"1367"	"東１"	"▼"	"12,810.0"	"15:00"	"-40.0"	"-0.31%"	"9,942"
"大和ＴＰＸダブルベア"	"1368"	"東１"	"▲"	"3,525.0"	"15:00"	"+5.0"	"+0.14%"	"19,310"
"ＯＮＥＥＴＦ日経２２５"	"1369"	"東１"	"▲"	"22,470.0"	"15:00"	"-70.0"	"-0.31%"	"4,149"
"カネコ種苗"	"1376"	"東１"	"▼"	"1,352.0"	"15:00"	"+8.0"	"+0.60%"	"9,000"
"サカタのタネ"	"1377"	"東１"	"▲"	"3,535.0"	"15:00"	"-40.0"	"-1.12%"	"83,100"
"ホクト"	"1379"	"東１"	"▼"	"1,914.0"	"15:00"	"-5.0"	"-0.26%"	"34,700"
"秋川牧園"	"1380"	"ＪＱ"	"▼"	"806.0"	"15:00"	"-9.0"	"-1.10%"	"1,800"
"アクシーズ"	"1381"	"ＪＱ"	"▲"	"2,443.0"	"15:00"	"+12.0"	"+0.49%"	"3,100"
"ホーブ"	"1382"	"ＪＱ"	""	"832.0"	"  :  "	"0.0"	"0.00%"	"0"
"ベルグアース"	"1383"	"ＪＱ"	"▲"	"2,271.0"	"15:00"	"-29.0"	"-1.26%"	"6,600"
"ホクリヨウ"	"1384"	"東１"	"▼"	"596.0"	"15:00"	"-2.0"	"-0.33%"	"4,000"
"ＵＢＳユーロ圏大型株５０"	"1385"	"東１"	"▲"	"4,340.0"	"15:00"	"-45.0"	"-1.03%"	"13"
"ＵＢＳＥＴＦ欧州株"	"1386"	"東１"	"▼"	"7,950.0"	"15:00"	"0.0"	"0.00%"	"136"
"ＵＢＳユーロ圏株"	"1387"	"東１"	"▲"	"15,270.0"	"09:10"	"0.0"	"0.00%"	"2"
"ＵＢＳユーロ圏小型株"	"1388"	"東１"	""	"12,170.0"	"  :  "	"0.0"	"0.00%"	"0"
"ＵＢＳ英国大型株１００"	"1389"	"東１"	"▼"	"10,060.0"	"09:06"	"-100.0"	"-0.98%"	"1"
"ＵＢＳアジア太平洋株"	"1390"	"東１"	"▼"	"4,935.0"	"11:30"	"-65.0"	"-1.30%"	"11"
"ＵＢＳＥＴＦスイス株"	"1391"	"東１"	"▲"	"2,055.0"	"14:12"	"+13.0"	"+0.64%"	"14"
"ＵＢＳＥＴＦ英国株"	"1392"	"東１"	"▲"	"2,760.0"	"11:30"	"-3.0"	"-0.11%"	"38"
"ＵＢＳＥＴＦ米国株"	"1393"	"東１"	"▲"	"31,450.0"	"11:05"	"-50.0"	"-0.16%"	"12"
"ＵＢＳＥＴＦ先進国株"	"1394"	"東１"	""	"24,360.0"	"  :  "	"0.0"	"0.00%"	"0"
"ＳＭＡＭ日経２２５"	"1397"	"東１"	""	"22,260.0"	"  :  "	"0.0"	"0.00%"	"0"
"ＳＭＡＭ東証ＲＥＩＴ指数"	"1398"	"東１"	"▲"	"1,923.0"	"12:43"	"-1.0"	"-0.05%"	"4,110"
"上場高配当低ボラ"	"1399"	"東１"	"▼"	"1,533.0"	"09:03"	"0.0"	"0.00%"	"50"
"ルーデン・ホールディングス"	"1400"	"ＪＱ"	"▼"	"333.0"	"15:00"	"-7.0"	"-2.06%"	"41,200"
"エムビーエス"	"1401"	"東マ"	"▼"	"979.0"	"15:00"	"-12.0"	"-1.21%"	"12,100"
"ウエストホールディングス"	"1407"	"ＪＱ"	"▼"	"1,467.0"	"15:00"	"+19.0"	"+1.31%"	"416,100"
"チャイナボーチー"	"1412"	"東１"	""	"-"	"  :  "	""	""	"0"
"ヒノキヤグループ"	"1413"	"東１"	"▼"	"2,268.0"	"15:00"	"-1.0"	"-0.04%"	"10,100"
"ショーボンドＨＤ"	"1414"	"東１"	"▼"	"7,640.0"	"15:00"	"+20.0"	"+0.26%"	"57,000"
"ミライト・ホールディングス"	"1417"	"東１"	"▼"	"1,631.0"	"15:00"	"+6.0"	"+0.37%"	"200,900"
"インターライフホールディング"	"1418"	"ＪＱ"	"▲"	"213.0"	"15:00"	"+3.0"	"+1.43%"	"25,500"
"タマホーム"	"1419"	"東１"	"▲"	"1,095.0"	"15:00"	"+3.0"	"+0.27%"	"193,200"
"サンヨーホームズ"	"1420"	"東１"	"▼"	"784.0"	"15:00"	"-4.0"	"-0.51%"	"5,700"
"日本アクア"	"1429"	"東１"	"▲"	"558.0"	"15:00"	"+24.0"	"+4.49%"	"227,300"
"ファーストコーポレーション"	"1430"	"東１"	"▼"	"928.0"	"15:00"	"-2.0"	"-0.22%"	"86,500"
"動力"	"1432"	"東マ"	""	"174.0"	"  :  "	"0.0"	"0.00%"	"0"
"ベステラ"	"1433"	"東１"	"▲"	"1,338.0"	"15:00"	"-49.0"	"-3.53%"	"11,500"
"ＪＥＳＣＯホールディングス"	"1434"	"東２"	"▲"	"460.0"	"15:00"	"-3.0"	"-0.65%"	"24,200"
"ＴＡＴＥＲＵ"	"1435"	"東１"	"▼"	"265.0"	"15:00"	"-2.0"	"-0.75%"	"769,500"
"フィット"	"1436"	"東マ"	"▼"	"617.0"	"11:05"	"-8.0"	"-1.28%"	"500"
"安江工務店"	"1439"	"ＪＱ"	"▲"	"1,099.0"	"14:56"	"+34.0"	"+3.19%"	"300"
"やまぜんホームズ"	"1440"	"東マ"	""	"500.0"	"  :  "	"0.0"	"0.00%"	"0"
"技研ホールディングス"	"1443"	"東２"	"▲"	"247.0"	"15:00"	"+2.0"	"+0.82%"	"68,400"
"ニッソウ"	"1444"	"東マ"	""	"2,100.0"	"  :  "	"0.0"	"0.00%"	"0"
"ひかりホールディングス"	"1445"	"東マ"	""	"2,400.0"	"  :  "	"0.0"	"0.00%"	"0"
"キャンディル"	"1446"	"東マ"	"▼"	"987.0"	"15:00"	"+6.0"	"+0.61%"	"7,800"
"ＩＴＢＯＯＫホールディングス"	"1447"	"東マ"	"▲"	"354.0"	"15:00"	"-4.0"	"-1.12%"	"68,400"
"スペースバリューＨＤ"	"1448"	"東１"	"▼"	"605.0"	"15:00"	"-11.0"	"-1.79%"	"800,000"
"田中建設工業"	"1450"	"ＪＱ"	"▲"	"2,690.0"	"14:55"	"+32.0"	"+1.20%"	"2,200"
"ＫＨＣ"	"1451"	"東２"	"▲"	"680.0"	"15:00"	"-4.0"	"-0.58%"	"20,400"
"ダイワ－２２５インバース"	"1456"	"東１"	"▼"	"6,680.0"	"15:00"	"+30.0"	"+0.45%"	"459"
"ダイワ－ＴＯＰＩＸインバース"	"1457"	"東１"	"▲"	"7,500.0"	"15:00"	"-40.0"	"-0.53%"	"239"
"楽天２２５ダブルブル"	"1458"	"東１"	"▲"	"11,300.0"	"15:00"	"-70.0"	"-0.62%"	"152,530"
"楽天２２５ダブルベア"	"1459"	"東１"	"▼"	"4,160.0"	"15:00"	"+25.0"	"+0.60%"	"384,455"
"ＭＸＳＪクオリティ１５０ＥＴＦ"	"1460"	"東１"	""	"18,500.0"	"  :  "	"0.0"	"0.00%"	"0"
"大和Ｊ４００ダブルブル"	"1464"	"東１"	"▼"	"9,920.0"	"14:59"	"-40.0"	"-0.40%"	"4,273"
"大和ＪＰＸ４００ベア"	"1465"	"東１"	"▼"	"7,390.0"	"15:00"	"0.0"	"0.00%"	"299"
"銘柄名"	"銘柄コード"	"市場部略称"	"T"	"現在値"	"時刻"	"前日比"	"前日比率"	"出来高"
"大和Ｊ４００ダブルベア"	"1466"	"東１"	"▲"	"4,815.0"	"15:00"	"+35.0"	"+0.73%"	"113"
"ＪＰＸ日経４００ブル２倍"	"1467"	"東１"	"▼"	"9,620.0"	"13:26"	"-50.0"	"-0.52%"	"30"
"ＪＰＸ日経４００ベア"	"1468"	"東１"	""	"7,260.0"	"  :  "	"0.0"	"0.00%"	"0"
"ＪＰＸ日経４００ベア２倍"	"1469"	"東１"	"▼"	"4,730.0"	"14:59"	"-5.0"	"-0.11%"	"1,020"
"ＮＥＸＴＦＪ４００レバ"	"1470"	"東１"	"▲"	"19,790.0"	"14:42"	"-20.0"	"-0.10%"	"141"
"ＮＥＸＴＦＪ４００インバ"	"1471"	"東１"	""	"4,770.0"	"09:00"	"0.0"	"0.00%"	"1"
"ＮＦＪ４００ダブルインバ"	"1472"	"東１"	"▲"	"1,917.0"	"15:00"	"-12.0"	"-0.62%"	"3,529"
"ＯＮＥＥＴＦトピックス"	"1473"	"東１"	"▲"	"1,644.0"	"14:44"	"0.0"	"0.00%"	"100"
"ＯＮＥＥＴＦＪＰＸ４００"	"1474"	"東１"	"▲"	"14,580.0"	"14:49"	"-20.0"	"-0.14%"	"121"
"Ｉシェアーズ・コアＴＯＰＩＸ"	"1475"	"東１"	"▲"	"1,653.0"	"15:00"	"0.0"	"0.00%"	"123,018"
"Ｉシェアーズ・コアＪリート"	"1476"	"東１"	"▼"	"1,949.0"	"15:00"	"-6.0"	"-0.31%"	"143,959"
"ＩＳＭＳＣＩ最小分散"	"1477"	"東１"	"▲"	"1,801.0"	"14:59"	"-1.0"	"-0.06%"	"14"
"ＩＳＭＳＣＩ高配当ＥＴＦ"	"1478"	"東１"	"▲"	"1,895.0"	"15:00"	"-2.0"	"-0.11%"	"4,306"
"ダイワＭＳＣＩ人材設備"	"1479"	"東１"	"▲"	"18,980.0"	"14:41"	"0.0"	"0.00%"	"5"
"ＮＦ野村企業価値"	"1480"	"東１"	""	"15,560.0"	"  :  "	"0.0"	"0.00%"	"0"
"上場日本経済貢献"	"1481"	"東１"	"▲"	"1,528.0"	"14:21"	"-2.0"	"-0.13%"	"11"
"ＩＳ米国債７－１０ヘッジ"	"1482"	"東１"	"▼"	"2,252.0"	"15:00"	"-5.0"	"-0.22%"	"1,281"
"ＩＳ設備・人材投資"	"1483"	"東１"	"▲"	"1,524.0"	"14:59"	"0.0"	"0.00%"	"349"
"ＯＮＥ設備人材投資"	"1484"	"東１"	"▼"	"1,510.0"	"14:27"	"-5.0"	"-0.33%"	"80"
"ＭＸＳＪ積極投資"	"1485"	"東１"	""	"19,950.0"	"  :  "	"0.0"	"0.00%"	"0"
"上場米債ヘッジなし"	"1486"	"東１"	"▲"	"20,410.0"	"09:08"	"-290.0"	"-1.40%"	"35"
"上場米債ヘッジあり"	"1487"	"東１"	"▼"	"17,780.0"	"13:25"	"-40.0"	"-0.22%"	"17"
"ダイワ東証ＲＥＩＴ指数"	"1488"	"東１"	"▼"	"1,936.0"	"15:00"	"-6.0"	"-0.31%"	"1,090"
"ＮＦ日経高配当株５０"	"1489"	"東１"	"▲"	"34,300.0"	"15:00"	"0.0"	"0.00%"	"994"
"上場高配ベータヘッジ"	"1490"	"東１"	""	"9,320.0"	"  :  "	"0.0"	"0.00%"	"0"
"中外鉱業"	"1491"	"東２"	"▼"	"19.0"	"15:00"	"-1.0"	"-5.00%"	"163,100"
"ＭＸＳＪＰＸ中小型"	"1492"	"東１"	"▲"	"13,540.0"	"15:00"	"+80.0"	"+0.59%"	"37"
"ＯＮＥＪＰＸ日経中小型"	"1493"	"東１"	"▼"	"13,520.0"	"14:26"	"-60.0"	"-0.44%"	"9"
"ＯＮＥ高配当日本株"	"1494"	"東１"	"▼"	"17,490.0"	"15:00"	"-40.0"	"-0.23%"	"21"
"上場アジアリート"	"1495"	"東１"	"▲"	"11,280.0"	"14:50"	"-80.0"	"-0.70%"	"290"
"ＩＳ米＄ＩＧ社債ヘジ"	"1496"	"東１"	"▲"	"2,386.0"	"15:00"	"+6.0"	"+0.25%"	"2,719"
"ＩＳ米＄ＨＹ社債ヘジ"	"1497"	"東１"	"▼"	"2,398.0"	"15:00"	"-6.0"	"-0.25%"	"1,760"
"ＯＮＥＥＴＦＥＳＧ"	"1498"	"東１"	"▲"	"12,140.0"	"14:26"	"-40.0"	"-0.33%"	"12"
"ＭＡＸＩＳ高配当７０ＭＮ"	"1499"	"東１"	"▼"	"9,150.0"	"14:27"	"0.0"	"0.00%"	"5"
"住石ホールディングス"	"1514"	"東１"	"▲"	"119.0"	"15:00"	"0.0"	"0.00%"	"442,600"
"日鉄鉱業"	"1515"	"東１"	"▼"	"4,270.0"	"15:00"	"-85.0"	"-1.95%"	"28,800"
"三井松島ＨＬＤＧＳ"	"1518"	"東１"	"▼"	"1,270.0"	"15:00"	"-15.0"	"-1.17%"	"61,000"
"純金上場信託"	"1540"	"東１"	"▲"	"4,440.0"	"15:00"	"+15.0"	"+0.34%"	"20,180"
"純プラチナ上場信託"	"1541"	"東１"	"▼"	"3,005.0"	"15:00"	"+16.0"	"+0.54%"	"4,823"
"純銀上場信託"	"1542"	"東１"	"▲"	"4,945.0"	"15:00"	"0.0"	"0.00%"	"1,582"
"純パラジウム上場信"	"1543"	"東１"	"▼"	"47,100.0"	"14:59"	"-100.0"	"-0.21%"	"34"
"ＮＦＮＡＳＤＡＱ１００連動"	"1545"	"東１"	"▲"	"8,870.0"	"15:00"	"-70.0"	"-0.78%"	"13,150"
"ＮＦダウ・ジョーンズ"	"1546"	"東１"	"▼"	"29,350.0"	"15:00"	"-240.0"	"-0.81%"	"2,218"
"上場米国株式"	"1547"	"東１"	"▼"	"3,520.0"	"15:00"	"-20.0"	"-0.56%"	"13,270"
"上場中国Ｈ株"	"1548"	"東１"	""	"-"	"  :  "	""	""	"0"
"上場インド株式"	"1549"	"東１"	""	"-"	"  :  "	""	""	"0"
"ＭＡＸＩＳ海外株式"	"1550"	"東１"	"▲"	"2,449.0"	"15:00"	"-10.0"	"-0.41%"	"3,070"
"ＪＡＳＤＡＱ－ＴＯＰ２０投信"	"1551"	"東１"	"▼"	"3,970.0"	"14:45"	"+85.0"	"+2.19%"	"1,420"
"国際のＥＴＦＶＩＸ"	"1552"	"東１"	"▼"	"9,290.0"	"15:00"	"+220.0"	"+2.43%"	"92,213"
"上場ＭＳ世界株"	"1554"	"東１"	"▼"	"2,130.0"	"15:00"	"-9.0"	"-0.42%"	"2,120"
"上場豪州リート"	"1555"	"東１"	"▼"	"1,646.0"	"15:00"	"+7.0"	"+0.43%"	"960"
"ＳＰＤＲＳ＆Ｐ５００ＥＴＦ"	"1557"	"東１"	"▲"	"32,650.0"	"15:00"	"-100.0"	"-0.31%"	"2,102"
"ＮＦタイ株式ＳＥＴ５０"	"1559"	"東１"	"▲"	"3,470.0"	"14:55"	"+35.0"	"+1.02%"	"136"
"ＮＦＦＴＳＥブルサ・マレー"	"1560"	"東１"	"▲"	"4,165.0"	"15:00"	"+5.0"	"+0.12%"	"45"
"国際のＥＴＦＶＩＸ中"	"1561"	"東１"	""	"-"	"  :  "	""	""	"0"
"マザーズコア上場投信"	"1563"	"東１"	"▼"	"2,431.0"	"15:00"	"-19.0"	"-0.78%"	"12,422"
"日経カバコＥＴＦ"	"1565"	"東１"	""	"-"	"  :  "	""	""	"0"
"上場新興国債券"	"1566"	"東１"	"▲"	"48,100.0"	"15:00"	"+50.0"	"+0.10%"	"721"
"ＭＡＸＩＳトピックスリスク５％"	"1567"	"東１"	""	"1,170.0"	"09:00"	"0.0"	"0.00%"	"170"
"ＴＯＰＩＸブル２倍投信"	"1568"	"東１"	"▼"	"16,500.0"	"15:00"	"-50.0"	"-0.30%"	"71,160"
"ＴＯＰＩＸベア上場投信"	"1569"	"東１"	"▲"	"3,155.0"	"15:00"	"+5.0"	"+0.16%"	"12,240"
"ＮＦ日経レバレッジＥＴＦ"	"1570"	"東１"	"▲"	"19,740.0"	"15:00"	"-130.0"	"-0.65%"	"6,132,445"
"ＮＦ日経インバースＥＴＦ"	"1571"	"東１"	"▼"	"1,544.0"	"15:00"	"+5.0"	"+0.32%"	"475,346"
"中国Ｈ株ブル２倍"	"1572"	"東１"	"▼"	"13,390.0"	"15:00"	"-260.0"	"-1.90%"	"430"
"中国Ｈ株ベア"	"1573"	"東１"	"▲"	"7,590.0"	"15:00"	"+120.0"	"+1.61%"	"400"
"ＭＸＳリスク１０"	"1574"	"東１"	""	"1,471.0"	"09:00"	"0.0"	"0.00%"	"560"
"ＣＨＡＭＣＣＳＩ３００ＪＤＲ"	"1575"	"東１"	"▼"	"655.0"	"15:00"	"-5.0"	"-0.76%"	"160"
"南方ＦＴＳＥ中国Ａ５０"	"1576"	"東１"	"▼"	"687.0"	"09:16"	"+12.0"	"+1.78%"	"110"
"ＮＦ野村高配当７０"	"1577"	"東１"	"▲"	"22,840.0"	"15:00"	"-60.0"	"-0.26%"	"598"
"インデックスＦ２２５ミニ"	"1578"	"東１"	"▼"	"1,791.0"	"15:00"	"-7.0"	"-0.39%"	"12,588"
"日経平均ブル２倍"	"1579"	"東１"	"▼"	"20,800.0"	"15:00"	"-150.0"	"-0.72%"	"309,650"
"日経平均ベア"	"1580"	"東１"	"▲"	"4,140.0"	"15:00"	"+20.0"	"+0.49%"	"18,290"
"ＩＳ先進国株ＥＴＦ－ＪＤ"	"1581"	"東１"	""	"-"	"  :  "	""	""	"0"
"ＩＳエマージング株ＥＴＦ"	"1582"	"東１"	""	"-"	"  :  "	""	""	"0"
"ＩＳフロンティア株ＥＴＦ－ＪＤ"	"1583"	"東１"	""	"-"	"  :  "	""	""	"0"
"サムスンＫＯＤＥＸサムスンＧ株"	"1584"	"東１"	""	"651.0"	"09:01"	"0.0"	"0.00%"	"20"
"ダイワ投信ＴＰＸＥＸ－Ｆ"	"1585"	"東１"	""	"1,261.0"	"  :  "	"0.0"	"0.00%"	"0"
"上場ＴＰＸＥＸ－Ｆ"	"1586"	"東１"	"▲"	"1,418.0"	"10:26"	"-9.0"	"-0.63%"	"4"
"ＩＳ米国超大型株"	"1587"	"東１"	""	"-"	"  :  "	""	""	"0"
"ＩＳ米国小型株ＥＴＦ"	"1588"	"東１"	""	"-"	"  :  "	""	""	"0"
"ＩＳ米国高配当株ＥＴ"	"1589"	"東１"	""	"-"	"  :  "	""	""	"0"
"ＩＳ米国リート・不動産"	"1590"	"東１"	""	"-"	"  :  "	""	""	"0"
"ＮＦＪＰＸ日経４００"	"1591"	"東１"	"▲"	"14,430.0"	"15:00"	"0.0"	"0.00%"	"7,307"
"上場ＪＰＸ日経４００"	"1592"	"東１"	"▼"	"1,324.0"	"15:00"	"-2.0"	"-0.15%"	"5,199"
"ＭＸＳ４００"	"1593"	"東１"	"▼"	"14,790.0"	"15:00"	"-10.0"	"-0.07%"	"1,063"
"ＮＺＡＭＪリート"	"1595"	"東１"	"▼"	"1,914.0"	"15:00"	"-5.0"	"-0.26%"	"5,910"
"ＮＺＡＭＥＸ－Ｆ"	"1596"	"東１"	""	"1,428.0"	"  :  "	"0.0"	"0.00%"	"0"
"ＭＡＸＩＳＪリート"	"1597"	"東１"	"▲"	"1,930.0"	"15:00"	"-2.0"	"-0.10%"	"2,630"
"ＲＮＦＩＥＴＦ"	"1598"	"東１"	""	"17,480.0"	"  :  "	"0.0"	"0.00%"	"0"
"大和ＪＰＸ日経４００"	"1599"	"東１"	"▲"	"14,620.0"	"13:41"	"-90.0"	"-0.61%"	"91"
"国際石油開発帝石"	"1605"	"東１"	"▲"	"1,081.0"	"15:00"	"+10.5"	"+0.98%"	"4,239,200"
"ダイワ－電気機器"	"1610"	"東１"	""	"2,383.0"	"09:00"	"0.0"	"0.00%"	"10"
"ダイワ－銀行業"	"1612"	"東１"	"▲"	"145.0"	"14:50"	"+1.0"	"+0.69%"	"500"
"電気機器連動型"	"1613"	"東１"	""	"2,360.0"	"  :  "	"0.0"	"0.00%"	"0"
"銀行業連動型"	"1615"	"東１"	"▲"	"158.0"	"15:00"	"-1.0"	"-0.63%"	"706,400"
"ＮＥＸＴＦ食品"	"1617"	"東１"	""	"29,510.0"	"09:00"	"0.0"	"0.00%"	"1"
"ＮＥＸＴＦエネ資源"	"1618"	"東１"	"▲"	"12,080.0"	"14:49"	"+10.0"	"+0.08%"	"15"
"ＮＥＸＴＦ建設・資材"	"1619"	"東１"	""	"21,330.0"	"09:00"	"0.0"	"0.00%"	"3"
"ＮＥＸＴＦ素材・化学"	"1620"	"東１"	""	"24,940.0"	"  :  "	"0.0"	"0.00%"	"0"
"ＮＥＸＴＦ医薬品"	"1621"	"東１"	"▲"	"21,400.0"	"14:55"	"+90.0"	"+0.42%"	"49"
"銘柄名"	"銘柄コード"	"市場部略称"	"T"	"現在値"	"時刻"	"前日比"	"前日比率"	"出来高"
"ＮＥＸＴＦ自動車"	"1622"	"東１"	"▼"	"20,510.0"	"10:02"	"-210.0"	"-1.01%"	"61"
"ＮＥＸＴＦ鉄鋼・非鉄"	"1623"	"東１"	"▲"	"16,530.0"	"14:57"	"-190.0"	"-1.14%"	"311"
"ＮＥＸＴＦ機械"	"1624"	"東１"	""	"33,500.0"	"  :  "	"0.0"	"0.00%"	"0"
"ＮＥＸＴＦ電機・精密"	"1625"	"東１"	"▼"	"18,580.0"	"10:11"	"-370.0"	"-1.95%"	"5"
"ＮＥＸＴＦ情通サ他"	"1626"	"東１"	""	"22,200.0"	"  :  "	"0.0"	"0.00%"	"0"
"ＮＥＸＴＦ電力・ガス"	"1627"	"東１"	"▲"	"7,380.0"	"13:08"	"-20.0"	"-0.27%"	"237"
"ＮＥＸＴＦ運輸・物流"	"1628"	"東１"	""	"18,500.0"	"14:35"	"0.0"	"0.00%"	"2"
"ＮＥＸＴＦ商社・卸売"	"1629"	"東１"	""	"33,500.0"	"14:42"	"0.0"	"0.00%"	"2"
"ＮＥＸＴＦ小売"	"1630"	"東１"	""	"19,270.0"	"  :  "	"0.0"	"0.00%"	"0"
"ＮＥＸＴＦ銀行"	"1631"	"東１"	"▼"	"9,180.0"	"15:00"	"-40.0"	"-0.43%"	"99"
"ＮＥＸＴＦ金融"	"1632"	"東１"	"▲"	"11,840.0"	"13:41"	"-140.0"	"-1.17%"	"505"
"ＮＥＸＴＦ不動産"	"1633"	"東１"	""	"27,940.0"	"  :  "	"0.0"	"0.00%"	"0"
"ダイワＴＰ１７食品"	"1634"	"東１"	""	"30,500.0"	"  :  "	"0.0"	"0.00%"	"0"
"ダイワＴＰ１７エネ資源"	"1635"	"東１"	"▼"	"13,340.0"	"12:48"	"+20.0"	"+0.15%"	"2"
"ダイワＴＰ１７建設資材"	"1636"	"東１"	"▼"	"23,640.0"	"12:30"	"-30.0"	"-0.13%"	"13"
"ダイワＴＰ１７素材化学"	"1637"	"東１"	""	"26,220.0"	"  :  "	"0.0"	"0.00%"	"0"
"ダイワＴＰ１７医薬品"	"1638"	"東１"	""	"21,620.0"	"  :  "	"0.0"	"0.00%"	"0"
