取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
long,2009/06/26,1839,100,1782,2009/07/06,1812,-2700,-0.47368421052631576,-1.468189233278956,7
short,2009/07/21,1748,100,1815,2009/07/28,1763,-1500,-0.22388059701492538,-0.8581235697940504,6
long,2009/08/07,1842,100,1755,2009/08/25,1872,3000,0.3448275862068966,1.6286644951140066,13
short,2009/09/29,1739,100,1799.0,2009/10/21,1655,8400,1.4,4.830362277170788,16
short,2009/10/28,1599,100,1676,2009/11/05,1626,-2700,-0.35064935064935066,-1.6885553470919326,6
short,2009/11/13,1534,100,1611,2009/11/26,1611,-7700,-1.0,-5.019556714471968,9
long,2009/12/03,1659,100,1560,2009/12/08,1586,-7300,-0.7373737373737373,-4.400241109101868,4
short,2009/12/11,1540,100,1632.0,2009/12/25,1576,-3600,-0.391304347826087,-2.3376623376623376,10
long,2010/01/12,1578,100,1530,2010/01/13,1530,-4800,-1.0,-3.041825095057034,2
short,2010/02/01,1521,100,1570,2010/02/02,1570,-4900,-1.0,-3.2215647600262987,2
long,2010/02/02,1585,100,1535,2010/03/23,1797,21200,4.24,13.375394321766562,34
long,2010/03/31,1847,100,1783,2010/04/09,1803,-4400,-0.6875,-2.382241472658365,8
long,2010/04/23,1842,100,1770,2010/05/07,1800,-4200,-0.5833333333333334,-2.2801302931596092,7
long,2010/05/13,1901,100,1816,2010/05/19,1821,-8000,-0.9411764705882353,-4.208311415044713,5
long,2010/06/22,1811,100,1747,2010/06/30,1770,-4100,-0.640625,-2.2639425731639977,7
long,2010/07/07,1838,100,1779,2010/07/15,1842,400,0.06779661016949153,0.2176278563656148,7
long,2010/07/28,1897,100,1828,2010/08/04,1830,-6700,-0.9710144927536232,-3.5318924617817604,6
long,2010/08/10,1909,100,1836,2010/08/12,1836,-7300,-1.0,-3.823991618648507,3
short,2010/08/20,1764,100,1859,2010/08/30,1804,-4000,-0.42105263157894735,-2.2675736961451247,7
short,2010/09/16,1757,100,1831,2010/09/24,1819,-6200,-0.8378378378378378,-3.5287421741605005,5
long,2010/09/29,1867,100,1796,2010/10/01,1796,-7100,-1.0,-3.8028923406534547,3
short,2010/10/05,1765,100,1841,2010/11/10,1733,3200,0.42105263157894735,1.8130311614730876,25
short,2010/11/12,1673,100,1728,2010/11/18,1728,-5500,-1.0,-3.2875074716078903,5
long,2010/12/16,1741,100,1687,2010/12/24,1713,-2800,-0.5185185185185185,-1.6082711085583,6
long,2011/01/11,1746,100,1704,2011/01/24,1755,900,0.21428571428571427,0.5154639175257731,10
long,2011/01/27,1804,100,1758,2011/02/01,1759,-4500,-0.9782608695652174,-2.494456762749446,4
long,2011/02/04,1818,100,1768,2011/02/17,1781,-3700,-0.74,-2.035203520352035,9
short,2011/02/24,1720,100,1782,2011/03/09,1734,-1400,-0.22580645161290322,-0.813953488372093,10
short,2011/03/11,1671,100,1736,2011/03/14,2144,-47300,-7.276923076923077,-28.30640335128665,2
long,2011/03/15,2150,100,2048,2011/03/16,2048,-10200,-1.0,-4.744186046511628,2
long,2011/03/16,2171,100,2034,2011/03/18,2034,-13700,-1.0,-6.310456011054813,3
long,2011/03/22,2291,100,2114,2011/03/28,2114,-17700,-1.0,-7.72588389349629,5
long,2011/04/20,2190,100,2055,2011/04/27,2149,-4100,-0.3037037037037037,-1.872146118721461,6
long,2011/05/06,2219,100,2113,2011/05/12,2115,-10400,-0.9811320754716981,-4.686795853988283,5
short,2011/05/12,2096,100,2201,2011/05/30,1911,18500,1.7619047619047619,8.826335877862595,13
short,2011/07/12,1880,100,1933,2011/07/15,1916,-3600,-0.6792452830188679,-1.9148936170212765,4
long,2011/07/19,1921,100,1871,2011/07/27,1907,-1400,-0.28,-0.7287870900572618,7
short,2011/07/29,1881,100,1922,2011/08/11,1848,3300,0.8048780487804879,1.7543859649122806,10
long,2011/08/18,1924,100,1846,2011/08/25,1899,-2500,-0.32051282051282054,-1.2993762993762994,6
short,2011/08/26,1841,100,1941,2011/09/07,1907,-6600,-0.66,-3.5850081477457905,9
short,2011/10/17,1814,100,1913,2011/11/04,1775,3900,0.3939393939393939,2.1499448732083795,14
long,2011/11/08,1826,100,1760,2011/11/10,1752,-7400,-1.121212121212121,-4.052573932092004,3
short,2011/11/14,1716,100,1785,2011/11/25,1641,7500,1.0869565217391304,4.370629370629371,9
short,2011/11/28,1601,100,1669,2011/11/30,1644,-4300,-0.6323529411764706,-2.6858213616489697,3
long,2012/01/05,1771,100,1706,2012/01/31,1921,15000,2.3076923076923075,8.46979107848673,18
long,2012/02/02,1982,100,1880,2012/02/14,1910,-7200,-0.7058823529411765,-3.632694248234107,9
long,2012/03/13,2001,100,1920,2012/03/22,1986,-1500,-0.18518518518518517,-0.7496251874062968,7
long,2012/03/29,2044,100,1971,2012/04/09,2000,-4400,-0.6027397260273972,-2.152641878669276,8
long,2012/04/20,2051,100,1978,2012/04/24,2012,-3900,-0.5342465753424658,-1.901511457825451,3
short,2012/05/14,1875,100,1944,2012/05/15,1982,-10700,-1.5507246376811594,-5.706666666666667,2
long,2012/05/31,2071,100,1969,2012/06/05,1973,-9800,-0.9607843137254902,-4.732013520038629,4
long,2012/06/11,2086,100,1974,2012/07/06,2280,19400,1.7321428571428572,9.300095877277085,20
long,2012/08/06,2346,100,2255,2012/09/10,2552,20600,2.2637362637362637,8.780903665814153,26
long,2012/09/21,2606,100,2479,2012/10/10,2638,3200,0.25196850393700787,1.2279355333844972,13
short,2012/10/18,2531,100,2656,2012/10/26,2571,-4000,-0.32,-1.5804030027657054,7
short,2012/10/31,2425,100,2549.0,2012/11/15,2449,-2400,-0.1935483870967742,-0.9896907216494845,12
long,2012/12/04,2728,100,2590,2013/01/17,3350,62200,4.507246376811594,22.80058651026393,27
long,2013/02/13,3415,100,3190,2013/02/14,3285,-13000,-0.5777777777777777,-3.806734992679356,2
short,2013/02/15,3190,100,3405,2013/02/21,3345,-15500,-0.7209302325581395,-4.858934169278997,5
long,2013/03/21,3415,100,3295,2013/04/01,3295,-12000,-1.0,-3.513909224011713,8
long,2013/04/10,3500,100,3310,2013/05/16,4015,51500,2.710526315789474,14.714285714285714,24
long,2013/05/17,4315,100,4020,2013/05/23,4020,-29500,-1.0,-6.836616454229433,5
short,2013/06/07,3445,100,3795.0,2013/06/10,3795.0,-35000.0,-1.0,-10.159651669085632,2
long,2013/07/05,4245,100,3920,2013/07/19,4125,-12000,-0.36923076923076925,-2.8268551236749118,10
short,2013/08/21,3780,100,4010,2013/08/23,3945,-16500,-0.717391304347826,-4.365079365079365,3
long,2013/09/09,4500,100,4295,2013/09/25,4455,-4500,-0.21951219512195122,-1.0,11
long,2013/10/18,4475,100,4265,2013/11/08,4495,2000,0.09523809523809523,0.44692737430167595,15
long,2013/11/18,4660,100,4480,2013/12/05,4695,3500,0.19444444444444445,0.7510729613733905,14
short,2013/12/16,4555,100,4695,2013/12/25,4565,-1000,-0.07142857142857142,-0.21953896816684962,7
long,2013/12/26,4800,100,4665,2014/01/14,4795,-500,-0.037037037037037035,-0.10416666666666667,9
long,2014/01/23,4995,100,4785,2014/01/28,4855,-14000,-0.6666666666666666,-2.8028028028028027,4
short,2014/02/20,4555,100,4800,2014/02/25,4735,-18000,-0.7346938775510204,-3.951701427003293,4
short,2014/03/03,4530,100,4745.0,2014/03/10,4640,-11000,-0.5116279069767442,-2.4282560706401766,6
short,2014/03/17,4450,100,4630,2014/03/27,4490,-4000,-0.2222222222222222,-0.8988764044943821,8
long,2014/04/02,4700,100,4490,2014/04/08,4495,-20500,-0.9761904761904762,-4.361702127659575,5
short,2014/04/09,4385,100,4590,2014/04/17,4480,-9500,-0.4634146341463415,-2.1664766248574687,7
long,2014/04/30,4605,100,4430,2014/05/12,4435,-17000,-0.9714285714285714,-3.691639522258415,7
short,2014/05/16,4425,100,4605,2014/05/26,4520,-9500,-0.5277777777777778,-2.1468926553672314,7
long,2014/06/02,4585,100,4405,2014/06/10,4580,-500,-0.027777777777777776,-0.10905125408942204,7
short,2014/06/13,4430,100,4590,2014/06/18,4580,-15000,-0.9375,-3.3860045146726865,4
long,2014/06/25,4625,100,4490,2014/07/04,4570,-5500,-0.4074074074074074,-1.1891891891891893,8
short,2014/07/08,4515,100,4625.0,2014/07/23,4445,7000,0.6363636363636364,1.550387596899225,11
short,2014/08/05,4345,100,4460.0,2014/08/13,4345,0,0.0,0.0,7
short,2014/08/29,4315,100,4475,2014/09/02,4470.0,-15500.0,-0.96875,-3.5921205098493627,3
long,2014/09/02,4475,100,4310,2014/09/10,4325,-15000,-0.9090909090909091,-3.35195530726257,7
short,2014/09/16,4310,100,4440,2014/09/18,4415,-10500,-0.8076923076923077,-2.436194895591647,3
short,2014/09/30,4265,100,4385,2014/10/21,4145,12000,1.0,2.813599062133646,15
long,2014/11/12,4420,100,4240,2014/11/26,4325,-9500,-0.5277777777777778,-2.1493212669683257,10
long,2014/12/02,4490,100,4290,2015/01/06,4625,13500,0.675,3.0066815144766146,22
long,2015/01/08,4755,100,4600,2015/01/13,4620,-13500,-0.8709677419354839,-2.8391167192429023,3
long,2015/01/21,4790,100,4635,2015/02/05,4930,14000,0.9032258064516129,2.9227557411273484,12
long,2015/02/13,5150,100,4970,2015/02/20,5030,-12000,-0.6666666666666666,-2.3300970873786406,6
long,2015/03/20,5050,100,4915,2015/04/06,5170,12000,0.8888888888888888,2.376237623762376,12
long,2015/04/13,5410,100,5210,2015/04/20,5330,-8000,-0.4,-1.478743068391867,6
long,2015/05/19,5500,100,5290,2015/05/26,5390,-11000,-0.5238095238095238,-2.0,6
short,2015/06/04,5340,100,5540,2015/06/12,5380,-4000,-0.2,-0.7490636704119851,7
short,2015/06/26,5200,100,5370,2015/07/14,5230,-3000,-0.17647058823529413,-0.576923076923077,13
short,2015/07/27,4935,100,5160,2015/08/05,5160,-22500,-1.0,-4.5592705167173255,8
long,2015/08/10,5280,100,5060,2015/08/21,5150,-13000,-0.5909090909090909,-2.462121212121212,10
short,2015/08/25,4470,100,4730,2015/08/26,4730,-26000,-1.0,-5.8165548098434,2
short,2015/09/14,4565,100,4895.0,2015/09/30,4575,-1000,-0.030303030303030304,-0.21905805038335158,10
long,2015/10/30,4840,100,4650,2015/11/02,4685,-15500,-0.8157894736842105,-3.202479338842975,2
long,2015/11/09,4845,100,4645,2015/12/04,4840,-500,-0.025,-0.10319917440660474,19
short,2015/12/10,4695,100,4870.0,2015/12/29,4395,30000,1.7142857142857142,6.3897763578274756,13
short,2016/01/08,4215,100,4405,2016/01/15,4350,-13500,-0.7105263157894737,-3.202846975088968,5
short,2016/01/19,4105,100,4315,2016/02/01,4165,-6000,-0.2857142857142857,-1.46163215590743,10
short,2016/02/10,3940,100,4250,2016/03/02,3940,0,0.0,0.0,15
long,2016/03/07,4090,100,3795,2016/03/25,4135,4500,0.15254237288135594,1.1002444987775062,14
long,2016/03/31,4310,100,4095,2016/04/05,4095,-21500,-1.0,-4.988399071925754,4
long,2016/04/07,4335,100,4115,2016/04/25,4795,46000,2.090909090909091,10.611303344867359,13
long,2016/05/16,4895,100,4640,2016/05/23,4795,-10000,-0.39215686274509803,-2.0429009193054135,6
long,2016/05/26,4930,100,4745,2016/06/03,4955,2500,0.13513513513513514,0.5070993914807302,7
short,2016/06/14,4700,100,4875,2016/06/28,4570,13000,0.7428571428571429,2.7659574468085104,11
long,2016/07/27,5210,100,4925,2016/08/02,5040,-17000,-0.5964912280701754,-3.262955854126679,5
short,2016/08/19,4475,100,4725,2016/08/24,4645,-17000,-0.68,-3.798882681564246,4
short,2016/08/29,4465,100,4715,2016/09/05,4605,-14000,-0.56,-3.135498320268757,6
short,2016/09/20,4505,100,4685,2016/09/21,4625,-12000,-0.6666666666666666,-2.6637069922308543,2
long,2016/09/26,4740,100,4565,2016/09/27,4570,-17000,-0.9714285714285714,-3.5864978902953584,2
long,2016/09/28,4745,100,4570,2016/11/02,4965,22000,1.2571428571428571,4.636459430979979,25
long,2016/11/11,5090,100,4890,2016/11/17,4890,-20000,-1.0,-3.9292730844793713,5
long,2016/11/30,5040,100,4835,2016/12/06,4935,-10500,-0.5121951219512195,-2.083333333333333,5
short,2016/12/29,4915,100,5080,2017/01/04,5040,-12500,-0.7575757575757576,-2.5432349949135302,3
long,2017/01/05,5070,100,4905,2017/01/12,4915,-15500,-0.9393939393939394,-3.057199211045365,5
short,2017/01/19,4825,100,4965,2017/02/13,4855,-3000,-0.21428571428571427,-0.6217616580310881,18
long,2017/03/09,5000,100,4860,2017/03/22,4920,-8000,-0.5714285714285714,-1.6,9
long,2017/04/25,5040,100,4895,2017/05/11,5050,1000,0.06896551724137931,0.1984126984126984,10
long,2017/05/24,5250,100,5100,2017/06/26,5720,47000,3.1333333333333333,8.952380952380953,24
long,2017/07/20,5750,100,5600,2017/07/31,5670,-8000,-0.5333333333333333,-1.391304347826087,8
long,2017/07/31,5840,100,5690,2017/08/10,5720,-12000,-0.8,-2.054794520547945,9
long,2017/08/30,6050,100,5780,2017/09/20,6240,19000,0.7037037037037037,3.1404958677685952,15
long,2017/09/28,6390,100,6190,2017/10/05,6250,-14000,-0.7,-2.190923317683881,6
long,2017/10/16,6460,100,6280,2017/11/15,6990,53000,2.9444444444444446,8.204334365325078,22
long,2017/11/29,7220,100,6890,2017/12/20,7850,63000,1.9090909090909092,8.725761772853186,16
long,2018/01/04,8180,100,7840,2018/01/16,8160,-2000,-0.058823529411764705,-0.24449877750611246,8
long,2018/01/23,8590,100,8250,2018/02/05,8550,-4000,-0.11764705882352941,-0.46565774155995343,10
short,2018/02/14,7520,100,8050,2018/02/21,7670,-15000,-0.2830188679245283,-1.9946808510638299,6
short,2018/03/05,7200,100,7780,2018/03/09,7550,-35000,-0.603448275862069,-4.861111111111112,5
short,2018/03/26,7370,100,7770,2018/03/28,7770,-40000,-1.0,-5.4274084124830395,3
long,2018/03/29,7880,100,7460,2018/04/13,7920,4000,0.09523809523809523,0.5076142131979695,12
long,2018/04/19,8220,100,7850,2018/05/17,8070,-15000,-0.40540540540540543,-1.824817518248175,18
short,2018/05/23,7780,100,8100,2018/06/04,7610,17000,0.53125,2.185089974293059,9
short,2018/06/19,7550,100,7800,2018/06/27,7660,-11000,-0.44,-1.456953642384106,7
short,2018/07/04,7380,100,7660,2018/07/09,7720,-34000,-1.2142857142857142,-4.607046070460704,4
long,2018/07/27,8040,100,7690,2018/07/31,7690,-35000,-1.0,-4.353233830845771,3
short,2018/08/13,7460,100,7750,2018/08/21,7550,-9000,-0.3103448275862069,-1.2064343163538873,7
long,2018/08/27,7930,100,7580,2018/09/04,7760,-17000,-0.4857142857142857,-2.1437578814627996,7
long,2018/09/10,8250,100,7910,2018/10/04,9020,77000,2.264705882352941,9.333333333333334,17
short,2018/10/26,8100,100,8540,2018/11/08,8240,-14000,-0.3181818181818182,-1.728395061728395,10
short,2018/11/22,7990,100,8430,2018/11/27,8500,-51000,-1.1590909090909092,-6.382978723404255,3
long,2018/11/27,8540,100,8120,2018/12/07,8580,4000,0.09523809523809523,0.468384074941452,9
long,2018/12/14,9000,100,8590,2018/12/20,8590,-41000,-1.0,-4.555555555555555,5
short,2018/12/26,7680,100,8150,2018/12/28,8150,-47000,-1.0,-6.119791666666666,3
short,2019/01/23,7520,100,8040,2019/01/31,7670,-15000,-0.28846153846153844,-1.9946808510638299,7
long,2019/03/04,8230,100,7880,2019/03/08,7920,-31000,-0.8857142857142857,-3.766707168894289,5
long,2019/03/12,8250,100,7890,2019/03/14,7910,-34000,-0.9444444444444444,-4.121212121212121,3
short,2019/03/18,7650,100,8000,2019/04/02,7540,11000,0.3142857142857143,1.4379084967320261,11
