取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
short,2009/07/13,692,100,762,2009/07/21,763,-7100,-1.0142857142857142,-10.260115606936417,6
long,2009/08/04,842,100,784,2009/08/05,784,-5800,-1.0,-6.88836104513064,2
long,2009/08/31,842,100,799,2009/09/02,800,-4200,-0.9767441860465116,-4.98812351543943,3
short,2009/09/07,751,100,792.0,2009/10/05,579,17200,4.195121951219512,22.902796271637815,18
short,2009/11/05,632,100,684,2009/11/11,649,-1700,-0.3269230769230769,-2.689873417721519,5
long,2009/12/02,651,100,607,2009/12/10,658,700,0.1590909090909091,1.0752688172043012,7
long,2009/12/25,699,100,650,2010/01/19,749,5000,1.0204081632653061,7.1530758226037205,15
short,2010/02/05,636,100,684,2010/02/17,654,-1800,-0.375,-2.8301886792452833,8
short,2010/03/03,639,100,675.0,2010/03/08,663,-2400,-0.6666666666666666,-3.755868544600939,4
long,2010/03/16,689,100,659,2010/03/23,662,-2700,-0.9,-3.9187227866473147,5
long,2010/03/29,694,100,668,2010/04/14,692,-200,-0.07692307692307693,-0.2881844380403458,13
short,2010/04/28,650,100,679,2010/05/28,577,7300,2.5172413793103448,11.23076923076923,19
short,2010/06/07,541,100,576,2010/06/15,545,-400,-0.11428571428571428,-0.7393715341959335,7
short,2010/06/24,521,100,550,2010/07/08,491,3000,1.0344827586206897,5.758157389635317,11
short,2010/07/21,467,100,495,2010/07/28,495,-2800,-1.0,-5.995717344753747,6
short,2010/08/25,485,100,512,2010/10/06,418,6700,2.4814814814814814,13.814432989690722,29
short,2010/10/29,419,100,451,2010/11/05,434,-1500,-0.46875,-3.579952267303103,5
long,2010/11/10,445,100,413,2010/12/01,480,3500,1.09375,7.865168539325842,15
long,2010/12/09,504,100,477,2010/12/30,517,1300,0.48148148148148145,2.579365079365079,15
long,2011/01/06,531,100,509,2011/01/17,531,0,0.0,0.0,7
short,2011/01/31,495,100,521,2011/02/02,521,-2600,-1.0,-5.252525252525253,3
long,2011/02/07,529,100,502,2011/02/22,527,-200,-0.07407407407407407,-0.3780718336483932,11
short,2011/02/23,514,100,539,2011/03/22,455,5900,2.36,11.478599221789883,19
short,2011/04/06,414,100,457,2011/04/22,420,-600,-0.13953488372093023,-1.4492753623188406,13
short,2011/05/12,406,100,425,2011/05/27,399,700,0.3684210526315789,1.7241379310344827,12
short,2011/06/15,385,100,402,2011/06/23,385,0,0.0,0.0,7
long,2011/07/04,403,100,385,2011/07/11,396,-700,-0.3888888888888889,-1.7369727047146404,6
short,2011/07/12,384,100,402,2011/07/22,389,-500,-0.2777777777777778,-1.3020833333333335,8
short,2011/08/05,350,100,365,2011/08/30,321,2900,1.9333333333333333,8.285714285714285,18
short,2011/09/06,305,100,326.0,2011/09/16,305,0,0.0,0.0,9
short,2011/09/22,284,100,305.0,2011/09/30,295,-1100,-0.5238095238095238,-3.873239436619718,6
short,2011/10/03,272,100,295,2011/10/11,288,-1600,-0.6956521739130435,-5.88235294117647,6
long,2011/10/28,321,100,298,2011/11/01,298,-2300,-1.0,-7.165109034267912,3
short,2011/11/08,278,100,301,2011/11/29,246,3200,1.391304347826087,11.510791366906476,15
short,2011/12/16,251,100,269,2012/01/04,243,800,0.4444444444444444,3.187250996015936,11
long,2012/01/06,251,100,236,2012/01/27,272,2100,1.4,8.366533864541832,15
long,2012/02/02,298,100,278,2012/03/07,358,6000,3.0,20.13422818791946,25
long,2012/03/12,391,100,364,2012/03/22,382,-900,-0.3333333333333333,-2.3017902813299234,8
short,2012/04/09,349,100,374,2012/06/07,273,7600,3.04,21.776504297994272,41
long,2012/06/25,291,100,270,2012/07/09,284,-700,-0.3333333333333333,-2.405498281786942,11
short,2012/07/23,255,100,273,2012/07/27,272,-1700,-0.9444444444444444,-6.666666666666667,5
short,2012/08/31,253,100,271,2012/09/03,271,-1800,-1.0,-7.114624505928854,2
long,2012/09/10,283,100,264,2012/09/24,288,500,0.2631578947368421,1.76678445229682,10
short,2012/10/01,276,100,295,2012/10/04,288,-1200,-0.631578947368421,-4.3478260869565215,4
short,2012/10/10,271,100,289,2012/10/17,282,-1100,-0.6111111111111112,-4.059040590405904,6
long,2012/10/18,292,100,273,2012/10/25,284,-800,-0.42105263157894735,-2.73972602739726,6
long,2012/11/15,299,100,285,2013/01/09,468,16900,12.071428571428571,56.52173913043478,34
long,2013/01/29,505,100,461,2013/02/15,518,1300,0.29545454545454547,2.5742574257425743,13
long,2013/03/04,558,100,518,2013/03/28,580,2200,0.55,3.942652329749104,18
long,2013/04/05,609,100,575,2013/05/23,881,27200,8.0,44.66338259441708,32
short,2013/06/04,706,100,807,2013/06/19,764,-5800,-0.5742574257425742,-8.21529745042493,12
short,2013/06/26,701,100,785,2013/07/01,749,-4800,-0.5714285714285714,-6.847360912981455,4
long,2013/07/12,825,100,769,2013/07/19,803,-2200,-0.39285714285714285,-2.666666666666667,5
short,2013/08/28,700,100,742.0,2013/09/03,728,-2800,-0.6666666666666666,-4.0,5
long,2013/09/10,766,100,726,2013/09/30,773,700,0.175,0.9138381201044387,13
short,2013/10/25,728,100,763,2013/11/13,734,-600,-0.17142857142857143,-0.8241758241758242,13
long,2013/11/18,803,100,769,2013/12/04,799,-400,-0.11764705882352941,-0.49813200498132004,13
long,2013/12/26,795,100,766,2014/01/22,790,-500,-0.1724137931034483,-0.628930817610063,15
short,2014/01/27,750,100,785,2014/02/12,710,4000,1.1428571428571428,5.333333333333334,12
short,2014/03/03,677,100,719,2014/03/06,704,-2700,-0.6428571428571429,-3.9881831610044314,4
short,2014/03/14,660,100,695.0,2014/03/31,659,100,0.02857142857142857,0.15151515151515152,11
short,2014/04/09,624,100,657,2014/04/21,632,-800,-0.24242424242424243,-1.282051282051282,9
short,2014/04/28,602,100,632,2014/05/01,625,-2300,-0.7666666666666667,-3.820598006644518,3
long,2014/05/26,664,100,628,2014/06/26,728,6400,1.7777777777777777,9.63855421686747,24
short,2014/07/11,667,100,695,2014/07/31,674,-700,-0.25,-1.0494752623688157,14
short,2014/08/05,648,100,676,2014/08/14,648,0,0.0,0.0,8
long,2014/09/02,682,100,658,2014/09/10,676,-600,-0.25,-0.8797653958944283,7
long,2014/09/11,697,100,673,2014/09/24,673,-2400,-1.0,-3.443328550932568,8
short,2014/10/03,627,100,652,2014/10/22,605,2200,0.88,3.508771929824561,13
long,2014/12/03,732,100,697,2014/12/10,713,-1900,-0.5428571428571428,-2.5956284153005464,6
short,2015/01/05,675,100,708,2015/01/23,637,3800,1.1515151515151516,5.62962962962963,14
long,2015/02/19,699,100,671,2015/03/04,711,1200,0.42857142857142855,1.7167381974248928,10
long,2015/03/13,737,100,707,2015/03/26,726,-1100,-0.36666666666666664,-1.4925373134328357,10
long,2015/04/17,737,100,710,2015/04/20,716,-2100,-0.7777777777777778,-2.8493894165535956,2
long,2015/04/22,738,100,710,2015/06/02,811,7300,2.607142857142857,9.89159891598916,26
