取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
long,2009/06/22,1331,100,1224,2009/07/01,1449,11800,1.102803738317757,8.865514650638618,8
long,2009/07/28,1351,100,1234,2009/08/12,1339,-1200,-0.10256410256410256,-0.8882309400444115,12
short,2009/08/12,1339,100,1432.0,2009/08/13,1432.0,-9300.0,-1.0,-6.9454817027632565,2
short,2009/09/16,1260,100,1334.0,2009/09/17,1327.0,-6700.0,-0.9054054054054054,-5.317460317460317,2
short,2009/09/28,1229,100,1311.0,2009/10/15,1231,-200,-0.024390243902439025,-0.16273393002441008,13
short,2009/11/02,1190,100,1250.0,2009/11/09,1239.0,-4900.0,-0.8166666666666667,-4.117647058823529,5
short,2009/11/13,1170,100,1224.0,2009/12/02,1040,13000,2.4074074074074074,11.11111111111111,13
short,2009/12/22,1000,100,1068.0,2010/01/04,1040,-4000,-0.5882352941176471,-4.0,7
long,2010/01/12,1051,100,997,2010/01/21,1060,900,0.16666666666666666,0.8563273073263558,8
long,2010/03/11,1120,100,1071,2010/03/19,1220,10000,2.0408163265306123,8.928571428571429,7
long,2010/04/14,1291,100,1208,2010/04/19,1240,-5100,-0.6144578313253012,-3.9504260263361735,4
long,2010/04/27,1371,100,1294,2010/05/07,1280,-9100,-1.1818181818181819,-6.637490882567469,5
short,2010/05/18,1189,100,1293.0,2010/06/02,1201,-1200,-0.11538461538461539,-1.0092514718250631,12
short,2010/06/10,1110,100,1199.0,2010/06/14,1195.0,-8500.0,-0.9550561797752809,-7.657657657657657,3
short,2010/06/28,1149,100,1212.0,2010/07/07,1151,-200,-0.031746031746031744,-0.17406440382941687,8
short,2010/07/22,1080,100,1154.0,2010/07/26,1180,-10000,-1.3513513513513513,-9.25925925925926,3
short,2010/09/06,1069,100,1138.0,2010/09/13,1140,-7100,-1.0289855072463767,-6.641721234798878,6
short,2010/09/24,1079,100,1150.0,2010/10/07,1101,-2200,-0.30985915492957744,-2.0389249304911954,10
short,2010/10/14,1030,100,1088.0,2010/11/02,980,5000,0.8620689655172413,4.854368932038835,14
long,2010/12/06,1041,100,997,2010/12/17,1079,3800,0.8636363636363636,3.6503362151777137,10
long,2011/01/12,1100,100,1047,2011/01/31,1070,-3000,-0.5660377358490566,-2.727272727272727,14
short,2011/02/01,1069,100,1136.0,2011/02/14,1136.0,-6700.0,-1.0,-6.26753975678204,9
long,2011/02/14,1131,100,1059,2011/02/23,1100,-3100,-0.4305555555555556,-2.7409372236958442,8
long,2011/03/09,1140,100,1098,2011/03/11,1090,-5000,-1.1904761904761905,-4.385964912280701,3
short,2011/03/14,810,100,859.0,2011/03/15,960,-15000,-3.061224489795918,-18.51851851851852,2
short,2011/03/15,809,100,884.0,2011/03/18,884.0,-7500.0,-1.0,-9.270704573547588,4
short,2011/04/05,899,100,1066.0,2011/05/11,911,-1200,-0.0718562874251497,-1.3348164627363739,23
short,2011/05/16,869,100,911.0,2011/06/01,880,-1100,-0.2619047619047619,-1.2658227848101267,13
