取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
short,2009/06/18,1295,100,1336,2009/06/26,1320,-2500,-0.6097560975609756,-1.9305019305019304,7
short,2009/07/09,1280,100,1321,2009/07/15,1321,-4100,-1.0,-3.2031249999999996,5
long,2009/07/17,1362,100,1316,2009/08/04,1389,2700,0.5869565217391305,1.9823788546255507,12
long,2009/08/12,1420,100,1373,2009/08/17,1383,-3700,-0.7872340425531915,-2.6056338028169015,4
long,2009/08/24,1424,100,1385,2009/09/02,1394,-3000,-0.7692307692307693,-2.106741573033708,8
short,2009/09/08,1379,100,1424,2009/10/13,1386,-700,-0.15555555555555556,-0.5076142131979695,22
long,2009/10/21,1422,100,1378,2009/10/29,1410,-1200,-0.2727272727272727,-0.8438818565400843,7
short,2009/11/27,1320,100,1366,2009/11/30,1366,-4600,-1.0,-3.4848484848484853,2
short,2009/12/22,1351,100,1399,2010/01/05,1368,-1700,-0.3541666666666667,-1.2583271650629164,8
short,2010/01/05,1344,100,1384,2010/02/15,1174,17000,4.25,12.648809523809524,28
long,2010/03/15,1229,100,1208,2010/03/24,1236,700,0.3333333333333333,0.5695687550854354,7
long,2010/03/31,1251,100,1229,2010/04/08,1249,-200,-0.09090909090909091,-0.15987210231814547,7
long,2010/04/08,1261,100,1240,2010/05/06,1286,2500,1.1904761904761905,1.9825535289452814,17
short,2010/05/19,1228,100,1264,2010/06/14,1172,5600,1.5555555555555556,4.5602605863192185,19
short,2010/06/28,1166,100,1199,2010/07/06,1177,-1100,-0.3333333333333333,-0.9433962264150944,7
long,2010/07/09,1196,100,1155,2010/07/13,1155,-4100,-1.0,-3.4280936454849495,3
short,2010/08/12,1150,100,1195,2010/08/30,1150,0,0.0,0.0,13
short,2010/09/30,1111,100,1141.0,2010/11/05,1046,6500,2.1666666666666665,5.8505850585058505,25
long,2010/12/09,1074,100,1054,2010/12/22,1104,3000,1.5,2.793296089385475,10
long,2011/01/11,1125,100,1100,2011/01/24,1200,7500,3.0,6.666666666666667,10
long,2011/02/04,1228,100,1182,2011/02/21,1239,1100,0.2391304347826087,0.8957654723127036,11
long,2011/03/04,1269,100,1234,2011/03/07,1234,-3500,-1.0,-2.7580772261623325,2
