取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
short,2009/06/19,258,100,272,2009/07/15,245,1300,0.9285714285714286,5.038759689922481,19
long,2009/08/04,269,100,257,2009/08/18,278,900,0.75,3.3457249070631967,11
short,2009/09/16,266,100,275,2009/09/18,275,-900,-1.0,-3.3834586466165413,3
short,2009/09/28,265,100,274,2009/10/09,274,-900,-1.0,-3.3962264150943398,10
short,2009/10/29,264,100,275,2009/11/13,264,0,0.0,0.0,11
short,2009/11/27,246,100,258,2009/12/03,258,-1200,-1.0,-4.878048780487805,5
long,2009/12/28,260,100,248,2010/01/22,269,900,0.75,3.4615384615384617,17
short,2010/02/16,254,100,265,2010/02/26,262,-800,-0.7272727272727273,-3.149606299212598,9
short,2010/03/01,253,100,263,2010/03/11,262.0,-900.0,-0.9,-3.557312252964427,9
long,2010/03/18,266,100,257,2010/03/29,267,100,0.1111111111111111,0.37593984962406013,7
long,2010/04/08,277,100,269,2010/04/19,272,-500,-0.625,-1.8050541516245486,8
short,2010/05/07,258,100,268,2010/05/11,268,-1000,-1.0,-3.875968992248062,3
short,2010/05/25,262,100,279,2010/06/01,273,-1100,-0.6470588235294118,-4.198473282442748,6
long,2010/06/17,284,100,270,2010/06/28,285,100,0.07142857142857142,0.35211267605633806,8
long,2010/07/07,298,100,286,2010/07/22,296,-200,-0.16666666666666666,-0.6711409395973155,11
long,2010/08/05,307,100,292,2010/08/11,292,-1500,-1.0,-4.88599348534202,5
short,2010/08/25,270,100,286,2010/09/09,270,0,0.0,0.0,12
short,2010/10/21,261,100,272,2010/11/05,264,-300,-0.2727272727272727,-1.1494252873563218,11
short,2010/11/05,253,100,263,2010/11/16,247,600,0.6,2.371541501976284,8
long,2010/12/15,260,100,253,2010/12/21,253,-700,-1.0,-2.6923076923076925,5
long,2011/01/13,261,100,254,2011/01/21,260,-100,-0.14285714285714285,-0.38314176245210724,7
long,2011/01/27,271,100,263,2011/02/01,263,-800,-1.0,-2.952029520295203,4
long,2011/02/04,276,100,267,2011/02/23,275,-100,-0.1111111111111111,-0.36231884057971014,13
long,2011/03/03,284,100,274,2011/03/11,282,-200,-0.2,-0.7042253521126761,7
short,2011/03/15,256,100,269,2011/03/25,245,1100,0.8461538461538461,4.296875,8
short,2011/04/04,224,100,247,2011/04/25,224,0,0.0,0.0,16
long,2011/04/28,227,100,217,2011/05/23,237,1000,1.0,4.405286343612335,14
long,2011/06/02,244,100,232,2011/06/08,236,-800,-0.6666666666666666,-3.278688524590164,5
long,2011/06/10,247,100,238,2011/06/20,251,400,0.4444444444444444,1.6194331983805668,7
long,2011/06/23,263,100,253,2011/08/05,263,0,0.0,0.0,31
long,2011/08/23,281,100,265,2011/09/07,280,-100,-0.0625,-0.3558718861209964,12
long,2011/09/26,291,100,278,2011/09/28,278,-1300,-1.0,-4.4673539518900345,3
long,2011/09/30,292,100,278,2011/10/07,278,-1400,-1.0,-4.794520547945205,6
short,2011/10/18,265,100,279.0,2011/11/16,269,-400,-0.2857142857142857,-1.509433962264151,21
short,2011/11/24,259,100,272,2011/12/16,259,0,0.0,0.0,17
long,2011/12/28,265,100,256,2012/01/19,262,-300,-0.3333333333333333,-1.1320754716981132,14
long,2012/01/23,270,100,262,2012/02/20,276,600,0.75,2.2222222222222223,21
long,2012/03/02,285,100,275,2012/03/27,284,-100,-0.1,-0.3508771929824561,17
short,2012/04/03,275,100,284,2012/04/23,269,600,0.6666666666666666,2.181818181818182,15
short,2012/04/27,261,100,271,2012/05/30,222,3900,3.9,14.942528735632186,21
short,2012/06/04,212,100,228,2012/06/19,208,400,0.25,1.8867924528301887,12
short,2012/07/11,206,100,216,2012/08/08,184,2200,2.2,10.679611650485436,20
short,2012/08/28,177,100,186.0,2012/09/12,175,200,0.2222222222222222,1.1299435028248588,12
long,2012/09/18,178,100,171,2012/09/27,171,-700,-1.0,-3.932584269662921,8
short,2012/09/27,172,100,179,2012/10/15,158,1400,2.0,8.13953488372093,12
long,2012/10/22,178,100,168,2012/11/01,174,-400,-0.4,-2.247191011235955,9
short,2012/11/06,157,100,169,2012/11/19,152,500,0.4166666666666667,3.1847133757961785,10
long,2012/12/19,169,100,161,2013/01/17,176,700,0.875,4.142011834319527,16
long,2013/02/05,191,100,181,2013/02/13,181,-1000,-1.0,-5.2356020942408374,6
long,2013/02/27,196,100,184,2013/03/13,190,-600,-0.5,-3.061224489795918,11
short,2013/03/25,185,100,194,2013/04/12,183,200,0.2222222222222222,1.0810810810810811,15
long,2013/04/25,197,100,187,2013/04/30,187,-1000,-1.0,-5.0761421319796955,3
long,2013/05/13,200,100,191,2013/05/24,209,900,1.0,4.5,10
short,2013/06/13,182,100,208,2013/06/20,192,-1000,-0.38461538461538464,-5.4945054945054945,6
long,2013/07/12,209,100,197,2013/07/22,206,-300,-0.25,-1.4354066985645932,6
long,2013/08/05,218,100,205,2013/08/08,205,-1300,-1.0,-5.963302752293578,4
