取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
long,2015/04/07,540,100,511,2015/04/20,528,-1200,-0.41379310344827586,-2.2222222222222223,10
short,2015/05/11,515,100,546,2015/05/13,527,-1200,-0.3870967741935484,-2.3300970873786406,3
long,2015/05/19,531,100,508,2015/05/29,532,100,0.043478260869565216,0.18832391713747645,9
long,2015/06/23,557,100,539,2015/06/29,539,-1800,-1.0,-3.231597845601436,5
long,2015/07/02,562,100,543,2015/07/31,890,32800,17.263157894736842,58.362989323843415,21
short,2015/08/25,650,100,713,2015/08/27,720,-7000,-1.1111111111111112,-10.76923076923077,3
short,2015/11/10,772,100,818,2015/11/24,765,700,0.15217391304347827,0.9067357512953367,10
long,2015/12/07,849,100,817,2015/12/24,817,-3200,-1.0,-3.769140164899882,13
long,2016/01/06,891,100,841,2016/01/21,843,-4800,-0.96,-5.387205387205387,11
long,2016/02/23,905,100,834,2016/02/29,874,-3100,-0.43661971830985913,-3.4254143646408837,5
long,2016/03/23,922,100,869,2016/03/30,900,-2200,-0.41509433962264153,-2.386117136659436,6
long,2016/03/31,960,100,913,2016/04/01,913,-4700,-1.0,-4.895833333333333,2
long,2016/04/14,1095,100,1034,2016/04/15,1034,-6100,-1.0,-5.570776255707763,2
long,2016/04/21,1111,100,1024,2016/04/28,1024,-8700,-1.0,-7.830783078307831,6
short,2016/06/13,896,100,944,2016/07/04,868,2800,0.5833333333333334,3.125,16
short,2016/07/22,837,100,888,2016/07/29,854,-1700,-0.3333333333333333,-2.031063321385902,6
short,2016/07/29,828,100,866,2016/08/15,856,-2800,-0.7368421052631579,-3.3816425120772946,11
short,2016/08/29,820,100,844,2016/09/07,801,1900,0.7916666666666666,2.317073170731707,8
short,2016/09/16,774,100,801,2016/09/28,751,2300,0.8518518518518519,2.9715762273901807,7
short,2016/10/19,750,100,784,2016/10/27,754,-400,-0.11764705882352941,-0.5333333333333333,7
long,2016/12/08,749,100,724,2016/12/26,742,-700,-0.28,-0.9345794392523363,12
long,2017/01/10,759,100,742,2017/01/16,742,-1700,-1.0,-2.2397891963109355,5
short,2017/01/18,731,100,750,2017/01/25,737,-600,-0.3157894736842105,-0.8207934336525308,6
long,2017/02/17,763,100,746,2017/03/09,789,2600,1.5294117647058822,3.4076015727391877,15
long,2017/03/10,798,100,779,2017/04/03,815,1700,0.8947368421052632,2.1303258145363406,16
short,2017/04/10,767,100,792,2017/04/14,828,-6100,-2.44,-7.953063885267275,5
long,2017/04/26,842,100,803,2017/05/18,855,1300,0.3333333333333333,1.5439429928741093,14
long,2017/05/19,893,100,851,2017/05/31,907,1400,0.3333333333333333,1.5677491601343785,9
long,2017/06/07,961,100,907,2017/06/15,944,-1700,-0.3148148148148148,-1.768990634755463,7
long,2017/06/20,971,100,927,2017/07/12,1031,6000,1.3636363636363635,6.179196704428424,17
short,2017/08/04,992,100,1049,2017/09/14,912,8000,1.4035087719298245,8.064516129032258,29
long,2017/09/26,1022,100,970,2017/10/12,1139,11700,2.25,11.448140900195694,12
long,2017/11/01,1151,100,1080,2017/11/09,1132,-1900,-0.2676056338028169,-1.6507384882710685,6
short,2017/11/15,1062,100,1119,2017/11/27,1099,-3700,-0.6491228070175439,-3.483992467043315,8
long,2017/11/30,1138,100,1080,2017/12/06,1099,-3900,-0.6724137931034483,-3.427065026362039,5
long,2017/12/08,1156,100,1098,2017/12/18,1147,-900,-0.15517241379310345,-0.7785467128027681,7
long,2017/12/26,1184,100,1139,2018/01/31,1565,38100,8.466666666666667,32.17905405405405,23
long,2018/02/26,1499,100,1339,2018/02/27,1405,-9400,-0.5875,-6.270847231487658,2
short,2018/03/02,1350,100,1504,2018/03/13,1347,300,0.01948051948051948,0.2222222222222222,8
short,2018/03/26,1263,100,1349,2018/03/30,1344.0,-8100.0,-0.9418604651162791,-6.413301662707839,5
short,2018/04/17,1292,100,1362,2018/05/09,1285,700,0.1,0.541795665634675,14
short,2018/05/14,965,100,1033,2018/06/13,908,5700,0.8382352941176471,5.9067357512953365,23
short,2018/06/18,876,100,930,2018/07/10,871,500,0.09259259259259259,0.5707762557077625,17
short,2018/08/06,844,100,882,2018/08/24,795,4900,1.2894736842105263,5.80568720379147,15
short,2018/09/06,780,100,816,2018/09/13,800,-2000,-0.5555555555555556,-2.564102564102564,6
short,2018/10/11,770,100,798,2018/10/16,798,-2800,-1.0,-3.6363636363636362,4
short,2018/10/24,760,100,799,2018/11/02,767,-700,-0.1794871794871795,-0.9210526315789472,8
short,2018/11/14,720,100,764,2018/11/28,746,-2600,-0.5909090909090909,-3.6111111111111107,10
short,2018/12/06,716,100,745,2019/01/08,630,8600,2.9655172413793105,12.011173184357542,19
short,2019/01/23,601,100,644,2019/01/30,620,-1900,-0.4418604651162791,-3.1613976705490847,6
short,2019/02/08,603,100,625,2019/02/18,624.0,-2100.0,-0.9545454545454546,-3.482587064676617,6
long,2019/02/20,637,100,614,2019/03/08,614,-2300,-1.0,-3.610675039246468,13
short,2019/03/15,606,100,640,2019/03/26,615,-900,-0.2647058823529412,-1.4851485148514851,7
