取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
short,2014/05/19,1509,100,1562,2014/05/27,1533,-2400,-0.4528301886792453,-1.5904572564612325,7
long,2014/05/30,1600,100,1554,2014/06/10,1611,1100,0.2391304347826087,0.6875,8
short,2014/06/13,1591,100,1633.0,2014/06/17,1627,-3600,-0.8571428571428571,-2.262727844123193,3
long,2014/06/18,1636,100,1591,2014/07/09,1626,-1000,-0.2222222222222222,-0.6112469437652812,16
short,2014/07/18,1601,100,1641,2014/07/23,1626,-2500,-0.625,-1.5615240474703311,3
long,2014/07/28,1628,100,1591,2014/08/04,1619,-900,-0.24324324324324326,-0.5528255528255528,6
long,2014/08/05,1650,100,1620,2014/08/06,1620,-3000,-1.0,-1.8181818181818181,2
long,2014/09/19,1641,100,1618,2014/10/02,1618,-2300,-1.0,-1.401584399756246,9
short,2014/10/03,1610,100,1635,2014/10/28,1547,6300,2.52,3.91304347826087,17
long,2014/11/21,1648,100,1598,2014/12/16,1743,9500,1.9,5.764563106796117,17
long,2014/12/24,1796,100,1737,2015/01/06,1770,-2600,-0.4406779661016949,-1.447661469933185,7
short,2015/01/22,1681,100,1754,2015/01/27,1727,-4600,-0.6301369863013698,-2.7364663890541343,4
long,2015/02/04,1781,100,1712,2015/02/17,1766,-1500,-0.21739130434782608,-0.8422234699606962,9
short,2015/02/17,1738,100,1802,2015/02/25,1776,-3800,-0.59375,-2.186421173762946,7
long,2015/03/04,1799,100,1745,2015/03/13,1770,-2900,-0.5370370370370371,-1.6120066703724294,8
short,2015/03/20,1751,100,1788,2015/03/26,1788,-3700,-1.0,-2.11307824100514,5
short,2015/03/27,1740,100,1777,2015/04/08,1706,3400,0.918918918918919,1.9540229885057472,9
short,2015/04/16,1675,100,1722,2015/04/27,1689,-1400,-0.2978723404255319,-0.835820895522388,8
short,2015/05/01,1654,100,1689.0,2015/05/08,1689.0,-3500.0,-1.0,-2.1160822249093107,3
long,2015/05/12,1778,100,1731,2015/05/28,1864,8600,1.8297872340425532,4.83689538807649,13
long,2015/06/10,1931,100,1848,2015/06/25,1965,3400,0.40963855421686746,1.7607457276022784,12
long,2015/07/03,2015,100,1946,2015/07/24,2118,10300,1.4927536231884058,5.11166253101737,15
short,2015/08/05,1907,100,2035,2015/09/09,1748,15900,1.2421875,8.33770319874148,26
short,2015/09/29,1674,100,1769,2015/10/13,1757,-8300,-0.8736842105263158,-4.958183990442055,10
long,2015/10/21,1762,100,1688,2015/11/02,1787,2500,0.33783783783783783,1.4188422247446084,9
long,2015/11/04,1843,100,1782,2015/11/30,1952,10900,1.7868852459016393,5.914270211611504,18
long,2015/12/17,1970,100,1901,2016/01/04,2034,6400,0.927536231884058,3.248730964467005,10
long,2016/01/25,2076,100,1950,2016/02/05,2204,12800,1.0158730158730158,6.165703275529865,10
short,2016/02/17,2079,100,2239,2016/02/22,2232,-15300,-0.95625,-7.35930735930736,4
long,2016/02/26,2270,100,2108,2016/03/08,2251,-1900,-0.11728395061728394,-0.8370044052863436,8
short,2016/03/16,2209,100,2329,2016/04/06,2195,1400,0.11666666666666667,0.6337709370755998,15
long,2016/04/08,2245,100,2141,2016/05/02,2367,12200,1.1730769230769231,5.434298440979955,16
long,2016/05/09,2518,100,2378,2016/05/19,2466,-5200,-0.37142857142857144,-2.0651310563939633,9
long,2016/05/30,2565,100,2440,2016/06/14,2800,23500,1.88,9.161793372319687,12
long,2016/06/27,2875,100,2714,2016/07/05,2714,-16100,-1.0,-5.6000000000000005,7
short,2016/07/19,2585,100,2779,2016/07/21,2779,-19400,-1.0,-7.504835589941973,3
short,2016/07/29,2561,100,2721,2016/08/04,2710,-14900,-0.93125,-5.818039828192113,5
short,2016/08/05,2508,100,2665,2016/08/12,2665,-15700,-1.0,-6.2599681020733655,5
short,2016/08/19,2452,100,2611,2016/09/05,2508,-5600,-0.3522012578616352,-2.2838499184339316,12
short,2016/09/20,2443,100,2550.0,2016/09/23,2548,-10500,-0.9813084112149533,-4.297994269340974,3
long,2016/09/28,2700,100,2590,2016/10/06,2724,2400,0.21818181818181817,0.8888888888888888,7
long,2016/10/19,2839,100,2725,2016/11/07,2872,3300,0.2894736842105263,1.1623811201127159,13
long,2016/11/08,2983,100,2865,2016/11/09,2865,-11800,-1.0,-3.9557492457257792,2
long,2016/11/29,2849,100,2719,2016/12/06,2807,-4200,-0.3230769230769231,-1.4742014742014742,6
long,2016/12/13,2948,100,2849,2017/01/23,3165,21700,2.191919191919192,7.360922659430122,26
long,2017/02/06,3190,100,3080,2017/02/16,3250,6000,0.5454545454545454,1.8808777429467085,9
long,2017/03/01,3390,100,3250,2017/03/28,3445,5500,0.39285714285714285,1.6224188790560472,19
short,2017/04/07,3250,100,3385,2017/04/14,3340,-9000,-0.6666666666666666,-2.769230769230769,6
short,2017/04/18,3005,100,3150,2017/04/26,3150,-14500,-1.0,-4.825291181364393,7
short,2017/06/12,3065,100,3175,2017/06/14,3160,-9500,-0.8636363636363636,-3.0995106035889073,3
short,2017/06/22,3060,100,3165,2017/07/07,3000,6000,0.5714285714285714,1.9607843137254901,12
short,2017/07/11,2904,100,2988,2017/07/13,2984,-8000,-0.9523809523809523,-2.7548209366391188,3
short,2017/08/04,3000,100,3115,2017/08/08,3105,-10500,-0.9130434782608695,-3.5000000000000004,3
long,2017/08/08,3110,100,3005,2017/08/22,3115,500,0.047619047619047616,0.1607717041800643,10
long,2017/09/11,3200,100,3095,2017/10/18,3450,25000,2.380952380952381,7.8125,26
long,2017/11/01,3500,100,3365,2017/11/07,3155,-34500,-2.5555555555555554,-9.857142857142858,4
short,2017/11/15,3095,100,3250.0,2017/11/29,3175,-8000,-0.5161290322580645,-2.5848142164781907,10
long,2017/12/11,3440,100,3320,2017/12/29,3360,-8000,-0.6666666666666666,-2.3255813953488373,15
short,2018/01/19,3170,100,3275,2018/01/22,3270,-10000,-0.9523809523809523,-3.1545741324921135,2
short,2018/02/05,3185,100,3290,2018/02/06,3275,-9000,-0.8571428571428571,-2.8257456828885403,2
long,2018/03/09,3335,100,3195,2018/04/24,3605,27000,1.9285714285714286,8.095952023988005,32
long,2018/05/08,3805,100,3670,2018/05/22,4050,24500,1.8148148148148149,6.438896189224705,11
long,2018/06/01,4235,100,4055,2018/06/06,4065,-17000,-0.9444444444444444,-4.014167650531287,4
long,2018/06/13,4250,100,4080,2018/06/20,4200,-5000,-0.29411764705882354,-1.1764705882352942,6
long,2018/06/26,4420,100,4220,2018/07/03,4220,-20000,-1.0,-4.524886877828054,6
short,2018/07/11,4040,100,4270.0,2018/07/26,4140,-10000,-0.43478260869565216,-2.4752475247524752,11
short,2018/08/07,3895,100,4100,2018/08/16,3900,-500,-0.024390243902439025,-0.12836970474967907,8
short,2018/08/28,3760,100,3965.0,2018/08/30,3900,-14000,-0.6829268292682927,-3.723404255319149,3
long,2018/09/19,4060,100,3900,2018/10/09,4125,6500,0.40625,1.600985221674877,13
long,2018/10/30,4095,100,3930,2018/11/05,3930,-16500,-1.0,-4.029304029304029,5
long,2018/11/09,4220,100,4020,2018/11/20,4230,1000,0.05,0.23696682464454977,8
short,2018/12/05,3980,100,4175,2019/01/09,3755,22500,1.1538461538461537,5.653266331658291,21
short,2019/01/25,3700,100,3885,2019/02/04,3755,-5500,-0.2972972972972973,-1.4864864864864866,7
short,2019/02/07,3635,100,3775,2019/02/18,3670,-3500,-0.25,-0.9628610729023385,7
long,2019/02/19,3775,100,3635,2019/03/28,3970,19500,1.3928571428571428,5.1655629139072845,27
