取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
long,2009/07/27,826,100,784,2009/09/03,949,12300,2.9285714285714284,14.891041162227603,29
long,2009/09/17,965,100,913,2009/09/28,915,-5000,-0.9615384615384616,-5.181347150259067,5
short,2009/10/02,894,100,947.0,2009/10/13,880,1400,0.2641509433962264,1.5659955257270695,7
short,2009/10/29,834,100,879,2009/12/03,737,9700,2.1555555555555554,11.630695443645084,24
long,2010/01/08,767,100,738,2010/01/12,738,-2900,-1.0,-3.780964797913951,2
short,2010/02/05,724,100,751,2010/03/11,718,600,0.2222222222222222,0.8287292817679558,24
long,2010/04/01,755,100,738,2010/04/19,814,5900,3.4705882352941178,7.81456953642384,13
long,2010/04/26,833,100,808,2010/05/06,808,-2500,-1.0,-3.0012004801920766,5
short,2010/05/27,724,100,763,2010/06/14,714,1000,0.2564102564102564,1.3812154696132597,13
short,2010/06/25,704,100,727,2010/07/05,724,-2000,-0.8695652173913043,-2.840909090909091,7
long,2010/07/09,743,100,721,2010/07/21,756,1300,0.5909090909090909,1.7496635262449527,8
short,2010/08/24,729,100,763,2010/09/21,744,-1500,-0.4411764705882353,-2.05761316872428,20
short,2010/10/20,735,100,756,2010/11/08,736,-100,-0.047619047619047616,-0.13605442176870747,13
short,2010/12/02,734,100,747,2010/12/06,747,-1300,-1.0,-1.7711171662125342,3
long,2010/12/15,751,100,735,2010/12/21,735,-1600,-1.0,-2.130492676431425,5
long,2010/12/22,770,100,751,2011/02/21,881,11100,5.842105263157895,14.415584415584416,39
short,2011/03/14,697,100,730,2011/03/16,730,-3300,-1.0,-4.734576757532281,3
short,2011/04/06,739,100,814,2011/04/15,739,0,0.0,0.0,8
short,2011/06/07,719,100,741.0,2011/06/10,740,-2100,-0.9545454545454546,-2.920723226703755,4
long,2011/07/15,756,100,737,2011/07/28,753,-300,-0.15789473684210525,-0.3968253968253968,9
short,2011/08/05,725,100,747,2011/08/16,721,400,0.18181818181818182,0.5517241379310345,8
short,2011/08/30,715,100,746,2011/09/05,730,-1500,-0.4838709677419355,-2.097902097902098,5
long,2011/09/20,738,100,720,2011/09/22,721,-1700,-0.9444444444444444,-2.303523035230352,3
