取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
long,2009/06/30,1990,100,1911,2009/07/03,1941,-4900,-0.620253164556962,-2.4623115577889445,4
long,2009/07/08,1996,100,1919,2009/07/09,1924,-7200,-0.935064935064935,-3.6072144288577155,2
long,2009/08/06,2031,100,1959,2009/08/17,2064,3300,0.4583333333333333,1.6248153618906942,8
long,2009/08/24,2150,100,2066,2009/09/08,2114,-3600,-0.42857142857142855,-1.6744186046511629,12
long,2009/09/24,2206,100,2111,2009/09/25,2149,-5700,-0.6,-2.5838621940163193,2
short,2009/10/22,2054,100,2141.0,2009/10/27,2091,-3700,-0.42528735632183906,-1.8013631937682568,4
short,2009/11/02,2004,100,2086.0,2009/11/30,1890,11400,1.3902439024390243,5.688622754491018,19
short,2009/12/10,1836,100,1917,2009/12/16,1873,-3700,-0.4567901234567901,-2.0152505446623095,5
short,2010/01/19,1893,100,1950,2010/01/22,1946.0,-5300.0,-0.9298245614035088,-2.7997886951928157,4
short,2010/02/19,1904,100,1956,2010/03/10,1890,1400,0.2692307692307692,0.7352941176470588,14
long,2010/03/23,1961,100,1928,2010/03/29,1900,-6100,-1.8484848484848484,-3.11065782763896,5
long,2010/04/21,1950,100,1914,2010/05/07,1954,400,0.1111111111111111,0.20512820512820512,9
short,2010/05/12,1905,100,1966,2010/05/31,1761,14400,2.360655737704918,7.559055118110236,14
short,2010/06/25,1709,100,1762,2010/06/28,1762,-5300,-1.0,-3.10122878876536,2
short,2010/07/13,1714,100,1761,2010/07/23,1721,-700,-0.14893617021276595,-0.40840140023337224,8
long,2010/08/09,1794,100,1754,2010/08/12,1749,-4500,-1.125,-2.508361204013378,4
long,2010/08/17,1805,100,1758,2010/09/01,1862,5700,1.2127659574468086,3.1578947368421053,12
long,2010/09/10,1920,100,1863,2010/09/17,1900,-2000,-0.3508771929824561,-1.0416666666666665,6
long,2010/10/06,1930,100,1878,2010/10/07,1881,-4900,-0.9423076923076923,-2.5388601036269427,2
short,2010/10/12,1835,100,1893,2010/10/18,1879,-4400,-0.7586206896551724,-2.3978201634877383,5
long,2010/11/08,1923,100,1841,2010/11/10,1859,-6400,-0.7804878048780488,-3.3281331253250133,3
long,2010/11/18,1957,100,1884,2010/11/24,1906,-5100,-0.6986301369863014,-2.6060296371997955,4
short,2010/12/09,1862,100,1920.0,2010/12/15,1882,-2000,-0.3448275862068966,-1.0741138560687433,5
long,2011/01/26,1921,100,1890,2011/01/31,1890,-3100,-1.0,-1.6137428422696511,4
short,2011/02/25,1876,100,1905,2011/03/01,1903,-2700,-0.9310344827586207,-1.439232409381663,3
short,2011/03/14,1705,100,1732,2011/03/15,1732,-2700,-1.0,-1.5835777126099706,2
short,2011/03/15,1692,100,1735,2011/03/22,1735,-4300,-1.0,-2.541371158392435,5
long,2011/03/25,1926,100,1816,2011/04/04,1816,-11000,-1.0,-5.711318795430945,7
short,2011/04/08,1767,100,1902,2011/04/11,1832,-6500,-0.48148148148148145,-3.6785512167515564,2
long,2011/04/28,1808,100,1747,2011/05/13,1780,-2800,-0.45901639344262296,-1.5486725663716814,8
