取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
short,2009/09/08,1899,100,1947.0,2009/09/17,1937.0,-3800.0,-0.7916666666666666,-2.0010531858873093,8
short,2009/10/23,1849,100,1900.0,2009/12/01,1750,9900,1.9411764705882353,5.354245538128718,26
long,2009/12/22,1831,100,1783,2010/01/26,1889,5800,1.2083333333333333,3.1676679410158384,22
long,2010/02/17,1921,100,1875,2010/03/29,2040,11900,2.5869565217391304,6.1946902654867255,28
short,2010/04/13,1929,100,1991.0,2010/04/26,1921,800,0.12903225806451613,0.41472265422498705,10
short,2010/05/06,1879,100,1929.0,2010/05/31,1801,7800,1.56,4.151144225651943,18
long,2010/06/21,1870,100,1820,2010/06/23,1839,-3100,-0.62,-1.6577540106951874,3
short,2010/08/12,1789,100,1827.0,2010/09/29,1791,-200,-0.05263157894736842,-0.11179429849077697,33
short,2010/09/30,1759,100,1795.0,2010/10/04,1795.0,-3600.0,-1.0,-2.046617396247868,3
long,2010/10/05,1841,100,1799,2010/10/13,1809,-3200,-0.7619047619047619,-1.7381857686040194,6
short,2010/10/25,1729,100,1807.0,2010/11/05,1630,9900,1.2692307692307692,5.725853094274147,9
long,2010/12/08,1751,100,1706,2010/12/24,1769,1800,0.4,1.0279840091376355,12
long,2011/01/05,1811,100,1779,2011/01/21,1839,2800,0.875,1.5461071231363888,12
long,2011/02/09,1871,100,1826,2011/03/14,1670,-20100,-4.466666666666667,-10.742918225547836,23
short,2011/03/15,1669,100,1736.0,2011/03/17,1736.0,-6700.0,-1.0,-4.014379868184541,3
short,2011/04/04,1720,100,1862.0,2011/04/11,1721,-100,-0.007042253521126761,-0.05813953488372093,6
short,2011/04/19,1609,100,1693.0,2011/05/06,1631,-2200,-0.2619047619047619,-1.3673088875077688,10
long,2011/06/02,1691,100,1640,2011/07/15,1810,11900,2.3333333333333335,7.03725606150207,32
short,2011/08/05,1770,100,1812.0,2011/08/15,1781,-1100,-0.2619047619047619,-0.6214689265536724,7
long,2011/09/16,1831,100,1786,2011/09/21,1799,-3200,-0.7111111111111111,-1.7476788640087382,3
short,2011/10/21,1759,100,1812.0,2011/11/17,1761,-200,-0.03773584905660377,-0.11370096645821488,19
long,2011/11/22,1871,100,1816,2011/11/24,1816,-5500,-1.0,-2.939604489577766,2
long,2012/01/04,1800,100,1751,2012/03/01,1979,17900,3.6530612244897958,9.944444444444445,41
long,2012/03/02,2021,100,1961,2012/03/28,1969,-5200,-0.8666666666666667,-2.5729836714497774,18
short,2012/04/03,1949,100,2013.0,2012/04/13,1891,5800,0.90625,2.9758850692662904,9
short,2012/05/07,1849,100,1892.0,2012/05/22,1791,5800,1.3488372093023255,3.1368307193077336,12
short,2012/06/04,1750,100,1810.0,2012/06/11,1801.0,-5100.0,-0.85,-2.9142857142857146,6
long,2012/06/21,1821,100,1769,2012/07/12,1869,4800,0.9230769230769231,2.6359143327841847,16
short,2012/08/27,1849,100,1905.0,2012/09/12,1781,6800,1.2142857142857142,3.6776636019469984,13
short,2012/09/25,1759,100,1798.0,2012/10/12,1741,1800,0.46153846153846156,1.023308698123934,13
long,2012/10/19,1781,100,1744,2012/10/26,1769,-1200,-0.32432432432432434,-0.673778775968557,6
long,2012/11/19,1781,100,1753,2012/12/13,1829,4800,1.7142857142857142,2.695115103874228,18
long,2012/12/19,1871,100,1835,2013/01/11,1939,6800,1.8888888888888888,3.6344200962052375,13
long,2013/01/15,1971,100,1926,2013/02/13,2049,7800,1.7333333333333334,3.95738203957382,21
