取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
short,2017/05/18,2139,100,2229,2017/05/24,2185,-4600,-0.5111111111111111,-2.1505376344086025,5
long,2017/06/01,2189,100,2130,2017/06/08,2150,-3900,-0.6610169491525424,-1.7816354499771585,6
long,2017/06/26,2211,100,2171,2017/06/28,2171,-4000,-1.0,-1.8091361374943467,3
long,2017/07/14,2211,100,2168,2017/07/20,2156,-5500,-1.2790697674418605,-2.4875621890547266,4
short,2017/08/10,2162,100,2208,2017/09/01,2185,-2300,-0.5,-1.0638297872340425,16
short,2017/09/05,2082,100,2147,2017/09/11,2149,-6700,-1.0307692307692307,-3.218059558117195,5
long,2017/09/27,2182,100,2102,2017/10/18,2471,28900,3.6125,13.24472960586618,15
long,2017/10/30,2595,100,2462,2017/11/02,2520,-7500,-0.5639097744360902,-2.8901734104046244,4
short,2017/11/15,2168,100,2290,2017/11/17,2252,-8400,-0.6885245901639344,-3.8745387453874542,3
long,2017/12/22,2513,100,2446,2017/12/28,2447,-6600,-0.9850746268656716,-2.626343016315161,5
long,2018/01/09,2546,100,2473,2018/01/29,2727,18100,2.4794520547945207,7.109190887666929,15
long,2018/02/19,2705,100,2549,2018/03/05,2914,20900,1.3397435897435896,7.726432532347505,11
long,2018/03/19,3150,100,2963,2018/04/16,3985,83500,4.46524064171123,26.50793650793651,20
long,2018/04/23,4350,100,3940,2018/04/26,3940,-41000,-1.0,-9.425287356321839,4
short,2018/05/11,3020,100,3505,2018/06/13,2911,10900,0.22474226804123712,3.609271523178808,24
short,2018/06/21,2821,100,3020,2018/06/29,2975,-15400,-0.7738693467336684,-5.459057071960298,7
long,2018/07/31,3135,100,2914,2018/08/02,2885,-25000,-1.1312217194570136,-7.974481658692185,3
short,2018/08/03,2793,100,3025,2018/08/14,2800,-700,-0.03017241379310345,-0.2506265664160401,8
short,2018/08/21,2669,100,2859,2018/08/23,2768,-9900,-0.5210526315789473,-3.7092544023979017,3
long,2018/09/18,2950,100,2782,2018/10/01,2909,-4100,-0.24404761904761904,-1.3898305084745761,9
short,2018/10/15,2710,100,2872,2018/10/22,2828,-11800,-0.7283950617283951,-4.354243542435424,6
short,2018/10/25,2650,100,2806,2018/11/01,2766,-11600,-0.7435897435897436,-4.377358490566038,6
short,2018/11/09,2350,100,2527,2018/12/03,2148,20200,1.1412429378531073,8.595744680851064,16
short,2018/12/11,2031,100,2179,2018/12/13,2174,-14300,-0.9662162162162162,-7.040866568193008,3
short,2018/12/20,1991,100,2152,2018/12/27,2262,-27100,-1.6832298136645962,-13.611250627825214,5
short,2019/01/23,1979,100,2179,2019/02/04,1963,1600,0.08,0.808489135927236,9
long,2019/02/07,2069,100,1957,2019/02/28,2264,19500,1.7410714285714286,9.424842919284679,15
long,2019/03/05,2379,100,2224,2019/03/11,2250,-12900,-0.832258064516129,-5.422446406052964,5
short,2019/03/28,2146,100,2284,2019/04/08,2290,-14400,-1.0434782608695652,-6.710158434296365,8
short,2019/04/18,2205,100,2334,2019/04/24,2287,-8200,-0.6356589147286822,-3.7188208616780045,5
