取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
long,2015/08/21,814,100,785,2015/08/24,775,-3900,-1.3448275862068966,-4.791154791154791,2
long,2015/08/25,650,100,618,2015/09/10,730,8000,2.5,12.307692307692308,13
short,2015/09/24,800,100,851,2015/10/06,833,-3300,-0.6470588235294118,-4.125,9
short,2015/10/07,831,100,865,2015/10/07,865,-3400,-1.0,-4.0914560770156445,1
short,2015/10/08,873,100,908,2015/10/16,827,4600,1.3142857142857143,5.2691867124856815,6
long,2015/10/26,773,100,746,2015/10/30,793,2000,0.7407407407407407,2.58732212160414,5
short,2015/12/07,840,100,856,2015/12/07,856,-1600,-1.0,-1.9047619047619049,1
short,2015/12/08,858,100,875,2015/12/09,875,-1700,-1.0,-1.9813519813519813,2
long,2016/01/22,860,100,828,2016/01/25,894,3400,1.0625,3.953488372093023,2
long,2016/05/16,1006,100,957,2016/05/24,1037,3100,0.6326530612244898,3.081510934393638,7
short,2016/10/17,770,100,784,2016/10/18,753,1700,1.2142857142857142,2.207792207792208,2
long,2017/04/13,760,100,746,2017/04/17,813,5300,3.7857142857142856,6.973684210526315,3
short,2017/09/21,995,100,1018,2017/09/25,1018,-2300,-1.0,-2.3115577889447234,3
short,2017/09/26,1015,100,1041.0,2017/09/27,1041.0,-2600.0,-1.0,-2.561576354679803,2
long,2017/11/16,1053,100,1024,2017/11/21,1096,4300,1.4827586206896552,4.083570750237417,4
long,2018/02/08,1421,100,1337,2018/02/15,1342,-7900,-0.9404761904761905,-5.559465165376495,5
long,2018/02/16,1410,100,1328,2018/02/21,1484,7400,0.9024390243902439,5.24822695035461,4
long,2018/02/23,1437,100,1354,2018/03/01,1357,-8000,-0.963855421686747,-5.567153792623522,5
long,2018/03/02,1350,100,1273,2018/03/05,1275,-7500,-0.974025974025974,-5.555555555555555,2
long,2018/03/06,1300,100,1224,2018/03/13,1331,3100,0.40789473684210525,2.3846153846153846,6
