取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
long,2009/07/06,817,100,770,2009/07/08,774,-4300,-0.9148936170212766,-5.263157894736842,3
long,2009/07/09,750,100,709,2009/07/13,710,-4000,-0.975609756097561,-5.333333333333334,3
long,2009/07/14,702,100,659,2009/07/23,784,8200,1.9069767441860466,11.68091168091168,7
short,2009/08/10,985,100,1032,2009/08/19,898,8700,1.851063829787234,8.83248730964467,8
long,2009/08/28,858,100,820,2009/08/31,933,7500,1.9736842105263157,8.741258741258742,2
long,2009/09/07,844,100,807,2009/09/08,874,3000,0.8108108108108109,3.5545023696682465,2
short,2009/10/20,890,100,922,2009/10/27,920,-3000,-0.9375,-3.3707865168539324,6
long,2009/11/09,846,100,813,2009/11/09,813,-3300,-1.0,-3.900709219858156,1
long,2010/05/18,1452,100,1396,2010/05/18,1396,-5600,-1.0,-3.8567493112947657,1
short,2010/06/18,1491,100,1548,2010/06/24,1438,5300,0.9298245614035088,3.5546613011401744,5
short,2010/07/30,1345,100,1397,2010/08/03,1329,1600,0.3076923076923077,1.1895910780669146,3
short,2010/09/28,1294,100,1330,2010/10/04,1271,2300,0.6388888888888888,1.777434312210201,5
short,2011/07/04,1248,100,1285,2011/07/05,1285,-3700,-1.0,-2.9647435897435894,2
long,2011/08/04,1167,100,1130,2011/08/05,1102,-6500,-1.7567567567567568,-5.569837189374464,2
long,2011/08/18,1049,100,1007,2011/08/19,1008,-4100,-0.9761904761904762,-3.9084842707340326,2
short,2011/10/12,973,100,1019,2011/10/17,970,300,0.06521739130434782,0.3083247687564234,4
short,2011/12/12,917,100,949,2011/12/19,867,5000,1.5625,5.452562704471101,6
long,2012/05/09,1409,100,1337,2012/05/15,1340,-6900,-0.9583333333333334,-4.897090134847409,5
short,2012/06/22,1300,100,1352,2012/06/29,1352,-5200,-1.0,-4.0,6
short,2012/07/02,1390,100,1442,2012/07/13,1310,8000,1.5384615384615385,5.755395683453238,10
long,2012/07/25,1200,100,1155,2012/07/27,1155,-4500,-1.0,-3.75,3
long,2012/07/30,1220,100,1172,2012/08/03,1176,-4400,-0.9166666666666666,-3.606557377049181,5
short,2013/01/08,1223,100,1246,2013/01/10,1246,-2300,-1.0,-1.8806214227309894,3
long,2013/02/13,1170,100,1126,2013/02/15,1126,-4400,-1.0,-3.7606837606837606,3
long,2013/02/18,1180,100,1134,2013/02/20,1222,4200,0.9130434782608695,3.5593220338983054,3
long,2013/04/02,1329,100,1278,2013/04/05,1465,13600,2.6666666666666665,10.233258088788563,4
long,2013/05/31,1683,100,1582,2013/06/03,1582,-10100,-1.0,-6.001188354129531,2
long,2013/06/04,1544,100,1437,2013/06/07,1447,-9700,-0.9065420560747663,-6.282383419689119,4
long,2013/06/11,1502,100,1395,2013/06/24,1552,5000,0.4672897196261682,3.3288948069241013,10
short,2013/07/03,1620,100,1702,2013/07/22,1621,-100,-0.012195121951219513,-0.06172839506172839,13
long,2013/08/13,1535,100,1483,2013/08/14,1559,2400,0.46153846153846156,1.5635179153094463,2
long,2013/08/22,1467,100,1413,2013/08/26,1548,8100,1.5,5.521472392638037,3
long,2013/11/06,1548,100,1503,2013/11/14,1612,6400,1.4222222222222223,4.1343669250646,7
short,2014/06/04,1249,100,1278,2014/06/10,1270,-2100,-0.7241379310344828,-1.6813450760608486,5
short,2014/09/26,1300,100,1316,2014/10/01,1260,4000,2.5,3.076923076923077,4
long,2014/10/06,1191,100,1169,2014/10/08,1169,-2200,-1.0,-1.8471872376154492,3
short,2015/10/14,1101,100,1131,2015/10/15,1093,800,0.26666666666666666,0.7266121707538601,2
short,2015/10/19,1118,100,1148,2015/10/20,1102,1600,0.5333333333333333,1.4311270125223614,2
long,2016/01/07,1145,100,1110,2016/01/08,1110,-3500,-1.0,-3.056768558951965,2
short,2016/03/04,1108,100,1153.0,2016/03/09,1066,4200,0.9333333333333333,3.790613718411552,4
short,2016/07/27,983,100,1008,2016/08/02,959,2400,0.96,2.441505595116989,5
short,2016/08/08,1061,100,1091,2016/08/08,1091,-3000,-1.0,-2.827521206409048,1
short,2016/12/08,1310,100,1345,2016/12/09,1341,-3100,-0.8857142857142857,-2.366412213740458,2
short,2016/12/13,1354,100,1382,2016/12/15,1381,-2700,-0.9642857142857143,-1.9940915805022157,3
long,2017/04/10,1305,100,1269,2017/04/12,1270,-3500,-0.9722222222222222,-2.681992337164751,3
short,2017/05/08,1394,100,1427,2017/05/08,1427,-3300,-1.0,-2.3672883787661405,1
short,2017/05/09,1392,100,1425,2017/05/11,1424,-3200,-0.9696969696969697,-2.2988505747126435,3
short,2017/05/12,1432,100,1467,2017/05/19,1363,6900,1.9714285714285715,4.818435754189944,6
short,2018/04/05,1379,100,1419,2018/04/10,1343,3600,0.9,2.610587382160986,4
long,2018/05/31,1363,100,1324,2018/06/04,1430,6700,1.7179487179487178,4.91562729273661,3
short,2018/07/31,1391,100,1427,2018/08/06,1426,-3500,-0.9722222222222222,-2.516175413371675,5
long,2018/09/03,1245,100,1204,2018/09/06,1208,-3700,-0.9024390243902439,-2.9718875502008033,4
short,2018/09/28,1294,100,1326,2018/09/28,1326,-3200,-1.0,-2.472952086553323,1
short,2018/10/01,1340,100,1374,2018/10/02,1374,-3400,-1.0,-2.5373134328358207,2
short,2018/10/03,1398,100,1433,2018/10/05,1433,-3500,-1.0,-2.503576537911302,3
short,2019/01/22,998,100,1036,2019/01/30,971,2700,0.7105263157894737,2.7054108216432864,7
