取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
long,2011/10/27,1103,100,1076,2011/10/31,1125,2200,0.8148148148148148,1.9945602901178603,3
long,2013/05/28,1308,100,1254,2013/06/04,1252,-5600,-1.037037037037037,-4.281345565749235,6
long,2013/06/05,1294,100,1243,2013/06/06,1243,-5100,-1.0,-3.9412673879443583,2
long,2013/06/13,1239,100,1176,2013/06/18,1300,6100,0.9682539682539683,4.923325262308313,4
short,2013/07/01,1394,100,1441,2013/07/16,1427,-3300,-0.7021276595744681,-2.3672883787661405,11
short,2013/07/17,1435,100,1469,2013/07/19,1431,400,0.11764705882352941,0.2787456445993031,3
short,2015/10/06,2257,100,2317,2015/10/06,2317,-6000,-1.0,-2.658396101019052,1
long,2016/01/13,2720,100,2632,2016/01/14,2632,-8800,-1.0,-3.2352941176470593,2
long,2016/01/18,2526,100,2428,2016/01/25,2731,20500,2.0918367346938775,8.115597783056215,6
long,2016/02/15,2805,100,2682,2016/02/16,2825,2000,0.16260162601626016,0.7130124777183601,2
short,2016/03/30,2929,100,3005,2016/04/04,2820,10900,1.4342105263157894,3.721406623420963,4
short,2016/04/05,2887,100,2957,2016/04/06,2785,10200,1.457142857142857,3.5330793210945624,2
short,2016/07/14,2457,100,2554,2016/07/21,2553,-9600,-0.9896907216494846,-3.907203907203907,5
short,2016/07/22,2510,100,2608,2016/07/25,2608,-9800,-1.0,-3.904382470119522,2
short,2016/07/27,2589,100,2682,2016/08/03,2409,18000,1.935483870967742,6.952491309385864,6
long,2016/08/22,2301,100,2232,2016/08/22,2232,-6900,-1.0,-2.9986962190352022,1
long,2016/08/23,2246,100,2176,2016/09/01,2320,7400,1.0571428571428572,3.2947462154942118,8
short,2016/09/23,2598,100,2665,2016/09/28,2665,-6700,-1.0,-2.5789068514241724,4
short,2018/09/21,4020,100,4100,2018/09/21,4100,-8000,-1.0,-1.9900497512437811,1
short,2018/09/25,4110,100,4195,2018/09/25,4195,-8500,-1.0,-2.068126520681265,1
short,2018/09/27,4155,100,4240,2018/10/02,4010,14500,1.7058823529411764,3.489771359807461,4
long,2018/10/17,3790,100,3680,2018/10/19,3650,-14000,-1.2727272727272727,-3.6939313984168867,3
long,2018/10/22,3620,100,3505,2018/10/26,3510,-11000,-0.9565217391304348,-3.0386740331491713,5
short,2018/12/04,3940,100,4020,2018/12/05,3790,15000,1.875,3.807106598984772,2
short,2019/02/06,3740,100,3830,2019/02/07,3600,14000,1.5555555555555556,3.7433155080213902,2
