取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
long,2010/04/07,1930,100,1899,2010/04/15,1899,-3100,-1.0,-1.6062176165803108,7
short,2010/11/24,1700,100,1732.0,2010/11/29,1730,-3000,-0.9375,-1.7647058823529411,4
short,2010/12/09,1780,100,1803.0,2010/12/15,1770,1000,0.43478260869565216,0.5617977528089888,5
long,2012/04/04,1920,100,1889,2012/04/05,1889,-3100,-1.0,-1.6145833333333335,2
long,2013/04/01,2070,100,2028,2013/04/01,2028,-4200,-1.0,-2.0289855072463765,1
long,2013/04/05,2140,100,2088,2013/04/09,2180,4000,0.7692307692307693,1.8691588785046727,3
long,2013/05/28,2240,100,2147,2013/06/03,2700,46000,4.946236559139785,20.535714285714285,5
long,2013/06/07,2250,100,2039,2013/06/12,2320,7000,0.33175355450236965,3.111111111111111,4
long,2013/06/14,2260,100,2024,2013/06/19,2390,13000,0.5508474576271186,5.752212389380531,4
short,2013/06/24,2530,100,2784.0,2013/06/27,2420,11000,0.4330708661417323,4.3478260869565215,4
long,2013/08/01,2570,100,2457,2013/08/05,2730,16000,1.415929203539823,6.22568093385214,3
long,2013/08/09,2610,100,2512,2013/08/14,2640,3000,0.30612244897959184,1.1494252873563218,4
long,2015/04/01,2820,100,2786,2015/04/01,2786,-3400,-1.0,-1.2056737588652482,1
long,2015/04/02,2820,100,2783,2015/04/02,2783,-3700,-1.0,-1.3120567375886525,1
long,2015/04/03,2800,100,2761,2015/04/13,2761,-3900,-1.0,-1.3928571428571428,7
long,2017/03/31,2948,100,2898,2017/04/12,2899,-4900,-0.98,-1.662143826322931,9
long,2017/04/17,2860,100,2814,2017/04/20,2900,4000,0.8695652173913043,1.3986013986013985,4
short,2017/05/23,3145,100,3190,2017/05/29,3075,7000,1.5555555555555556,2.2257551669316373,5
short,2018/09/26,3420,100,3485,2018/09/26,3485,-6500,-1.0,-1.9005847953216373,1
short,2018/09/27,3445,100,3515,2018/10/04,3340,10500,1.5,3.0478955007256894,6
short,2018/12/04,3320,100,3395,2018/12/07,3230,9000,1.2,2.710843373493976,4
long,2019/03/29,2828,100,2774,2019/04/03,2774,-5400,-1.0,-1.9094766619519095,4
