取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
long,2009/09/09,900,100,872,2009/09/16,957,5700,2.0357142857142856,6.333333333333334,6
long,2010/05/20,758,100,741,2010/05/20,741,-1700,-1.0,-2.242744063324538,1
long,2010/05/21,740,100,722,2010/05/27,722,-1800,-1.0,-2.4324324324324325,5
short,2010/07/13,757,100,769,2010/07/13,769,-1200,-1.0,-1.5852047556142668,1
short,2010/07/14,780,100,793,2010/07/16,793,-1300,-1.0,-1.6666666666666667,3
long,2011/02/25,830,100,816,2011/03/01,862,3200,2.2857142857142856,3.8554216867469884,3
short,2011/11/24,695,100,771,2011/12/01,705,-1000,-0.13157894736842105,-1.4388489208633095,6
short,2011/12/02,704,100,816,2011/12/30,703,100,0.008928571428571428,0.14204545454545456,20
long,2013/06/04,876,100,819,2013/06/06,819,-5700,-1.0,-6.506849315068493,3
long,2013/06/07,763,100,698,2013/07/01,816,5300,0.8153846153846154,6.946264744429882,17
short,2013/07/05,850,100,873,2013/07/08,871,-2100,-0.9130434782608695,-2.4705882352941173,2
short,2013/07/09,909,100,930,2013/07/16,949,-4000,-1.9047619047619047,-4.400440044004401,5
short,2013/07/17,940,100,963,2013/07/22,963,-2300,-1.0,-2.4468085106382977,4
short,2013/07/23,950,100,976,2013/07/24,999,-4900,-1.8846153846153846,-5.157894736842105,2
short,2013/07/26,970,100,997,2013/08/01,924,4600,1.7037037037037037,4.742268041237113,5
long,2013/08/09,896,100,868,2013/08/21,875,-2100,-0.75,-2.34375,9
short,2015/10/06,1148,100,1173,2015/10/06,1173,-2500,-1.0,-2.177700348432056,1
short,2015/10/09,1126,100,1158,2015/10/13,1158,-3200,-1.0,-2.841918294849023,2
long,2016/08/10,1383,100,1328,2016/08/17,1334,-4900,-0.8909090909090909,-3.5430224150397684,5
long,2016/08/18,1301,100,1251,2016/08/26,1257,-4400,-0.88,-3.3820138355111453,7
short,2016/09/09,1420,100,1459,2016/09/14,1330,9000,2.3076923076923075,6.338028169014084,4
short,2016/09/20,1376,100,1417,2016/09/21,1352,2400,0.5853658536585366,1.744186046511628,2
short,2016/09/28,1450,100,1493,2016/10/11,1453,-300,-0.06976744186046512,-0.20689655172413793,9
short,2018/09/26,1666,100,1703,2018/09/28,1616,5000,1.3513513513513513,3.0012004801920766,3
long,2018/10/23,1451,100,1409,2018/10/29,1415,-3600,-0.8571428571428571,-2.4810475534114405,5
long,2019/04/23,1354,100,1323,2019/04/24,1326,-2800,-0.9032258064516129,-2.06794682422452,2
