取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
long,2010/05/10,258,100,253,2010/05/12,268,1000,2.0,3.875968992248062,3
short,2011/05/09,235,100,240,2011/05/09,240,-500,-1.0,-2.127659574468085,1
short,2011/05/10,240,100,245,2011/05/10,245,-500,-1.0,-2.083333333333333,1
short,2011/05/11,251,100,256,2011/05/20,238,1300,2.6,5.179282868525896,8
short,2012/10/22,173,100,178,2012/10/22,178,-500,-1.0,-2.8901734104046244,1
short,2012/10/23,181,100,187,2012/11/02,176,500,0.8333333333333334,2.7624309392265194,9
short,2012/12/17,165,100,169,2012/12/19,169,-400,-1.0,-2.4242424242424243,3
short,2012/12/20,172,100,176,2012/12/27,176,-400,-1.0,-2.3255813953488373,5
short,2012/12/28,178,100,183,2013/01/04,183,-500,-1.0,-2.8089887640449436,2
long,2013/05/31,196,100,185,2013/06/05,205,900,0.8181818181818182,4.591836734693878,4
long,2013/06/06,198,100,185,2013/06/07,185,-1300,-1.0,-6.565656565656567,2
long,2013/06/10,193,100,179,2013/06/13,180,-1300,-0.9285714285714286,-6.7357512953367875,4
long,2013/06/18,187,100,175,2013/06/24,194,700,0.5833333333333334,3.7433155080213902,5
short,2013/07/11,205,100,212,2013/07/12,211,-600,-0.8571428571428571,-2.9268292682926833,2
short,2013/07/16,212,100,218,2013/07/18,218,-600,-1.0,-2.8301886792452833,3
short,2013/07/19,218,100,224,2013/07/23,206,1200,2.0,5.5045871559633035,3
short,2014/04/22,228,100,234,2014/04/23,234,-600,-1.0,-2.631578947368421,2
long,2014/12/09,373,100,359,2014/12/19,394,2100,1.5,5.630026809651475,9
short,2015/01/29,394,100,406,2015/01/30,406,-1200,-1.0,-3.0456852791878175,2
short,2015/02/02,405,100,417,2015/02/04,387,1800,1.5,4.444444444444445,3
long,2015/08/25,373,100,355,2015/08/26,355,-1800,-1.0,-4.825737265415549,2
long,2015/08/27,369,100,350,2015/09/07,353,-1600,-0.8421052631578947,-4.336043360433604,8
long,2015/09/08,363,100,348,2015/09/10,361,-200,-0.13333333333333333,-0.5509641873278237,3
short,2015/10/20,385,100,396,2015/10/23,397,-1200,-1.0909090909090908,-3.116883116883117,4
long,2016/01/22,590,100,553,2016/02/01,630,4000,1.0810810810810811,6.779661016949152,7
long,2016/02/10,584,100,554,2016/02/10,554,-3000,-1.0,-5.136986301369863,1
long,2016/02/12,536,100,504,2016/03/03,541,500,0.15625,0.9328358208955223,15
short,2016/03/30,569,100,587,2016/03/31,564,500,0.2777777777777778,0.8787346221441126,2
short,2016/04/06,589,100,611,2016/04/07,569,2000,0.9090909090909091,3.395585738539898,2
long,2016/05/16,555,100,531,2016/05/23,591,3600,1.5,6.486486486486487,6
short,2016/08/16,525,100,545,2016/08/18,517,800,0.4,1.5238095238095237,3
short,2016/10/20,467,100,477,2016/10/21,477,-1000,-1.0,-2.141327623126338,2
long,2017/01/18,524,100,510,2017/01/19,537,1300,0.9285714285714286,2.480916030534351,2
long,2017/07/10,639,100,625,2017/07/20,657,1800,1.2857142857142858,2.8169014084507045,8
long,2018/05/25,546,100,536,2018/05/29,536,-1000,-1.0,-1.8315018315018317,3
long,2018/11/08,680,100,659,2018/11/09,709,2900,1.380952380952381,4.264705882352941,2
short,2019/01/23,669,100,688,2019/02/01,670,-100,-0.05263157894736842,-0.14947683109118087,8
long,2019/04/12,772,100,754,2019/04/16,781,900,0.5,1.16580310880829,3
long,2019/04/18,759,100,740,2019/04/19,740,-1900,-1.0,-2.503293807641634,2
