取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
long,2009/07/09,731,100,695,2009/07/13,692,-3900,-1.0833333333333333,-5.33515731874145,3
long,2009/07/14,708,100,672,2009/07/22,763,5500,1.5277777777777777,7.768361581920905,6
short,2009/08/12,814,100,842,2009/08/14,839,-2500,-0.8928571428571429,-3.0712530712530715,3
long,2009/09/07,760,100,739,2009/09/14,739,-2100,-1.0,-2.763157894736842,6
short,2009/10/21,671,100,708,2009/10/28,644,2700,0.7297297297297297,4.023845007451564,6
long,2009/11/26,591,100,570,2009/12/01,617,2600,1.2380952380952381,4.39932318104907,4
long,2010/02/01,684,100,661,2010/02/03,709,2500,1.0869565217391304,3.654970760233918,3
long,2010/02/04,683,100,659,2010/02/04,659,-2400,-1.0,-3.513909224011713,1
short,2010/08/11,514,100,529,2010/08/13,496,1800,1.2,3.501945525291829,3
short,2010/10/15,450,100,467,2010/10/18,422,2800,1.6470588235294117,6.222222222222222,2
short,2010/11/15,464,100,480,2010/11/18,479,-1500,-0.9375,-3.2327586206896552,4
long,2011/02/01,506,100,493,2011/02/03,516,1000,0.7692307692307693,1.9762845849802373,3
short,2011/10/18,294,100,306,2011/10/20,285,900,0.75,3.061224489795918,3
short,2011/10/28,321,100,333,2011/11/02,286,3500,2.9166666666666665,10.903426791277258,4
short,2011/12/06,260,100,273,2011/12/16,253,700,0.5384615384615384,2.6923076923076925,9
long,2012/04/05,352,100,339,2012/04/11,339,-1300,-1.0,-3.6931818181818183,5
long,2012/04/12,344,100,331,2012/04/19,349,500,0.38461538461538464,1.4534883720930232,6
short,2012/06/19,277,100,288,2012/06/21,288,-1100,-1.0,-3.9711191335740073,3
short,2012/06/22,280,100,291,2012/06/25,291,-1100,-1.0,-3.9285714285714284,2
short,2012/07/02,300,100,311,2012/07/09,284,1600,1.4545454545454546,5.333333333333334,6
long,2013/05/31,819,100,773,2013/05/31,773,-4600,-1.0,-5.616605616605617,1
long,2013/06/03,750,100,703,2013/06/04,703,-4700,-1.0,-6.266666666666667,2
long,2013/06/05,769,100,716,2013/06/05,716,-5300,-1.0,-6.8920676202860855,1
long,2013/06/06,690,100,634,2013/06/20,742,5200,0.9285714285714286,7.536231884057972,11
short,2013/07/05,785,100,817,2013/07/08,820,-3500,-1.09375,-4.45859872611465,2
short,2013/07/09,808,100,838,2013/07/26,801,700,0.23333333333333334,0.8663366336633664,13
long,2013/07/31,757,100,733,2013/08/05,784,2700,1.125,3.5667107001321003,4
long,2013/08/12,723,100,700,2013/08/26,727,400,0.17391304347826086,0.5532503457814661,11
short,2013/09/11,787,100,808,2013/09/27,805,-1800,-0.8571428571428571,-2.2871664548919948,11
short,2014/05/23,650,100,668,2014/05/26,668,-1800,-1.0,-2.769230769230769,2
long,2014/07/11,667,100,653,2014/07/28,668,100,0.07142857142857142,0.14992503748125938,11
short,2014/11/04,750,100,766,2014/11/27,714,3600,2.25,4.8,17
short,2015/02/17,676,100,691,2015/02/18,691,-1500,-1.0,-2.2189349112426036,2
short,2015/10/22,752,100,775,2015/10/23,780,-2800,-1.2173913043478262,-3.723404255319149,2
long,2015/12/01,737,100,721,2015/12/02,750,1300,0.8125,1.7639077340569878,2
short,2016/02/02,665,100,691,2016/02/04,578,8700,3.3461538461538463,13.082706766917292,3
short,2016/03/07,540,100,567,2016/03/10,515,2500,0.9259259259259259,4.62962962962963,4
short,2016/03/15,536,100,556,2016/03/17,520,1600,0.8,2.9850746268656714,3
long,2016/04/12,452,100,435,2016/04/13,485,3300,1.9411764705882353,7.300884955752212,2
short,2016/07/14,399,100,417,2016/07/15,417,-1800,-1.0,-4.511278195488721,2
short,2016/07/19,434,100,453,2016/07/29,451,-1700,-0.8947368421052632,-3.9170506912442393,9
short,2016/08/02,441,100,461,2016/08/04,417,2400,1.2,5.442176870748299,3
short,2016/08/05,441,100,462,2016/08/08,465,-2400,-1.1428571428571428,-5.442176870748299,2
long,2016/10/03,451,100,436,2016/10/04,461,1000,0.6666666666666666,2.2172949002217295,2
short,2017/05/09,709,100,726,2017/05/18,664,4500,2.6470588235294117,6.346967559943582,8
short,2017/09/21,643,100,655,2017/10/06,637,600,0.5,0.9331259720062209,12
short,2018/09/20,549,100,557,2018/09/21,557,-800,-1.0,-1.4571948998178506,2
short,2018/09/25,557,100,566,2018/10/04,549,800,0.8888888888888888,1.436265709156194,8
short,2019/01/21,461,100,475,2019/01/30,445,1600,1.1428571428571428,3.470715835140998,8
short,2019/04/18,443,100,453,2019/04/25,417,2600,2.6,5.8690744920993225,6
