取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益（円）,R倍数,%損益,期間
short,2014/06/03,1644,100,1669,2014/06/11,1602,4200,1.68,2.5547445255474455,7
short,2015/05/12,1766,100,1790,2015/05/12,1790,-2400,-1.0,-1.3590033975084939,1
long,2015/08/05,1910,100,1846,2015/08/21,1891,-1900,-0.296875,-0.9947643979057591,13
long,2016/07/19,2585,100,2488,2016/07/21,2768,18300,1.8865979381443299,7.079303675048355,3
short,2017/07/21,3125,100,3180,2017/07/26,3050,7500,1.3636363636363635,2.4,4
long,2017/11/08,3215,100,3135,2017/11/13,3135,-8000,-1.0,-2.488335925349922,4
short,2017/12/08,3375,100,3435,2017/12/08,3435,-6000,-1.0,-1.7777777777777777,1
short,2017/12/11,3400,100,3460,2017/12/12,3460,-6000,-1.0,-1.7647058823529411,2
short,2017/12/13,3370,100,3435,2017/12/18,3435,-6500,-1.0,-1.9287833827893175,4
long,2018/01/19,3170,100,3115,2018/01/23,3240,7000,1.2727272727272727,2.2082018927444795,3
short,2018/09/25,4110,100,4195,2018/09/28,4195,-8500,-1.0,-2.068126520681265,4
long,2019/04/10,3705,100,3630,2019/04/12,3635,-7000,-0.9333333333333333,-1.8893387314439947,3
long,2019/04/15,3670,100,3600,2019/04/18,3600,-7000,-1.0,-1.9073569482288828,4
